Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
33,8,80,-25,-21,-22
53,-12,60,-24,-21,-23
54,8,40,-24,-22,-43
74,9,20,-23,-42,-44
54,29,0,-43,-62,-64
74,9,-20,-23,-63,-64
75,-11,-40,-22,-62,-44
55,9,-20,-23,-63,-24
35,29,0,-22,-62,-4
15,49,-20,-42,-62,-5
35,69,-20,-43,-63,-6
36,89,0,-42,-62,-7
16,109,20,-41,-63,-8
36,89,40,-61,-62,-9
56,109,60,-81,-63,-10
76,89,80,-82,-64,-30
96,109,60,-102,-65,-50
76,89,80,-103,-66,-49
96,109,100,-104,-67,-48
76,109,101,-105,-68,-49
96,89,101,-106,-88,-50
76,109,101,-107,-89,-51
75,89,81,-108,-69,-52
95,88,101,-109,-68,-51
94,108,81,-89,-69,-52
74,88,101,-90,-49,-53
54,87,81,-91,-69,-33
34,67,61,-92,-49,-34
14,47,41,-93,-69,-35
34,27,21,-73,-49,-36
14,47,1,-74,-69,-16
34,27,-19,-94,-70,-15
14,47,1,-95,-69,-16
34,27,21,-96,-68,-15
14,47,1,-97,-48,-16
34,27,21,-98,-28,4
33,47,41,-78,-29,3
53,67,61,-79,-30,2
73,87,81,-99,-31,3
93,107,101,-79,-51,2
92,87,81,-59,-71,3
72,107,101,-39,-91,2
52,87,101,-59,-71,3
72,107,81,-39,-72,2
92,87,61,-59,-92,3
72,67,41,-39,-93,2
52,87,61,-59,-94,-18
32,67,81,-60,-74,-17
52,87,61,-40,-94,-37
32,67,81,-39,-74,-36
52,87,61,-38,-94,-37
32,67,41,-58,-74,-36
52,87,21,-59,-94,-56
72,67,41,-79,-74,-55
52,87,21,-78,-94,-54
32,67,41,-79,-114,-34
52,87,21,-78,-94,-14
53,67,41,-79,-74,-13
73,87,21,-78,-94,-12
93,67,41,-79,-74,-32
73,87,21,-78,-75,-31
93,67,41,-79,-95,-11
73,87,21,-78,-115,-10
93,67,41,-79,-95,-9
73,68,21,-78,-115,-10
93,67,41,-79,-95,-9
73,47,21,-78,-115,-10
93,27,41,-79,-95,-9
73,47,21,-78,-115,-10
93,67,41,-79,-95,-9
73,87,21,-99,-96,-10
93,107,41,-98,-97,-9
73,87,21,-98,-97,-10
93,107,41,-99,-117,-9
73,108,21,-79,-118,-10
74,88,41,-80,-118,-11
54,68,61,-100,-118,-10
34,48,81,-120,-118,-9
14,68,61,-119,-118,-10
13,48,81,-99,-118,-30
33,68,61,-98,-118,-29
53,88,81,-99,-118,-30
73,108,61,-98,-118,-10
93,88,81,-78,-118,-11
73,108,61,-77,-118,-10
93,88,81,-76,-118,-11
73,108,61,-75,-118,-12
93,88,60,-74,-98,-11
73,108,40,-54,-118,-12
93,88,20,-34,-119,-11
73,89,40,-33,-119,-10
53,69,20,-34,-119,-11
33,89,0,-33,-119,-10
53,69,-20,-34,-119,-11
33,89,0,-33,-99,-10
34,109,0,-34,-119,-9
54,89,20,-33,-119,-10
74,109,40,-53,-119,-9
94,89,60,-33,-119,-10
114,109,40,-32,-119,-9
