Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
95,79,38,-13,-112,-48
115,99,18,-12,-113,-68
95,79,17,-11,-114,-69
115,99,-3,-10,-115,-89
95,98,-23,-30,-116,-88
115,78,-3,-50,-117,-89
95,58,17,-51,-118,-88
75,38,18,-50,-119,-89
95,58,38,-70,-120,-90
94,58,39,-69,-100,-91
74,78,59,-68,-80,-92
54,77,59,-88,-79,-112
53,76,59,-89,-78,-113
52,75,59,-109,-77,-114
32,55,79,-89,-97,-94
31,54,78,-88,-117,-74
30,55,79,-68,-116,-75
29,35,99,-67,-96,-55
28,55,98,-66,-97,-35
27,35,118,-65,-98,-34
26,55,119,-85,-118,-33
46,35,119,-84,-119,-32
66,36,99,-83,-99,-52
65,56,79,-103,-79,-72
64,55,59,-104,-59,-71
63,35,79,-105,-60,-91
62,34,59,-106,-40,-111
61,33,79,-86,-39,-111
62,34,99,-85,-38,-112
61,33,98,-65,-37,-92
62,32,78,-66,-36,-91
61,52,77,-46,-35,-71
81,51,76,-47,-55,-51
61,50,96,-67,-56,-50
81,51,76,-68,-55,-30
61,50,56,-69,-54,-29
41,30,57,-70,-74,-28
42,29,37,-71,-75,-27
41,28,38,-91,-95,-26
21,48,37,-90,-115,-25
22,47,38,-89,-116,-26
21,46,37,-69,-96,-25
20,66,57,-68,-116,-24
21,65,37,-67,-117,-25
41,66,57,-87,-118,-24
21,86,37,-86,-119,-44
1,87,36,-85,-99,-43
2,86,56,-105,-98,-42
22,85,76,-104,-97,-62
21,84,56,-103,-77,-82
41,85,55,-102,-78,-82
21,65,35,-102,-79,-81
41,66,55,-101,-80,-61
21,46,35,-81,-100,-41
22,47,36,-82,-80,-21
42,48,56,-81,-60,-22
41,49,55,-82,-59,-23
40,50,35,-83,-58,-24
20,70,55,-63,-57,-44
21,71,35,-64,-56,-45
22,91,55,-65,-76,-46
21,71,56,-66,-96,-47
22,72,57,-46,-95,-48
21,92,37,-26,-94,-49
22,93,38,-27,-93,-50
42,73,58,-28,-92,-51
41,74,38,-29,-91,-52
40,73,37,-9,-111,-53
41,74,57,-8,-112,-54
21,54,37,-7,-92,-55
22,53,38,13,-112,-75
42,33,37,13,-92,-76
41,34,36,-7,-91,-77
61,54,16,-6,-71,-97
62,34,36,-5,-72,-98
82,35,37,-4,-73,-78
81,55,17,-3,-72,-79
80,56,37,-2,-73,-59
60,36,17,-1,-74,-79
40,37,16,19,-94,-59
60,36,-4,39,-95,-58
40,37,16,19,-96,-57
41,57,15,18,-116,-37
21,56,14,-2,-96,-36
22,36,34,-22,-76,-35
42,35,54,-42,-56,-34
22,34,74,-41,-55,-33
42,33,54,-61,-35,-32
41,53,34,-62,-15,-31
61,52,54,-82,-14,-11
41,51,55,-102,-13,-10
42,50,35,-103,-12,-9
43,49,34,-83,8,-8
23,69,54,-63,7,-7
22,70,53,-64,-13,-6
23,90,33,-65,-33,-5
43,91,53,-64,-53,-4
44,90,33,-84,-54,-24
43,89,53,-85,-74,-25
44,90,33,-86,-94,-45
