Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
16,103,96,-47,-86,-11
36,83,76,-27,-87,9
16,84,56,-7,-67,8
36,64,56,-8,-68,-12
16,84,36,-9,-69,-11
16,85,56,-8,-70,-12
36,86,56,-9,-71,-13
36,66,56,-29,-91,-33
16,65,36,-9,-111,-53
16,85,36,-8,-112,-54
16,65,36,-28,-113,-53
16,85,36,-29,-93,-73
17,65,35,-28,-113,-53
18,85,55,-48,-93,-54
-2,65,75,-28,-73,-34
-3,85,74,-29,-53,-54
-4,65,73,-9,-53,-74
-5,66,74,11,-54,-94
-4,86,73,-9,-34,-74
-3,87,74,11,-14,-54
-2,88,73,-9,-15,-34
-3,87,74,-29,-16,-54
-2,67,73,-9,-17,-34
-3,47,74,11,-18,-54
-2,27,75,-9,-19,-55
-3,47,76,11,-18,-35
-2,48,75,-9,2,-15
-3,68,76,-8,-18,-35
-2,48,77,12,-38,-15
18,68,78,-8,-18,-35
17,48,77,-7,-38,-36
18,68,78,-27,-39,-37
19,88,79,-26,-40,-57
18,68,78,-25,-39,-58
19,67,98,-45,-59,-78
18,68,78,-65,-58,-98
19,88,98,-64,-57,-78
18,108,118,-63,-56,-98
38,88,119,-62,-76,-78
18,68,119,-82,-75,-98
-2,88,99,-62,-95,-78
-3,68,119,-82,-75,-98
-2,67,99,-62,-95,-78
-3,66,79,-82,-75,-98
-2,65,59,-62,-95,-78
-3,45,39,-82,-75,-98
-2,44,19,-62,-95,-97
-3,43,18,-82,-75,-77
17,44,19,-62,-95,-97
18,43,39,-82,-94,-117
19,44,59,-62,-74,-97
19,43,79,-82,-94,-117
19,42,99,-62,-95,-97
19,43,119,-82,-115,-77
18,42,119,-62,-115,-78
19,22,119,-82,-95,-58
18,2,99,-62,-115,-38
19,3,98,-82,-95,-39
18,23,78,-62,-115,-40
17,3,77,-82,-95,-20
37,23,76,-62,-96,-19
38,3,75,-82,-116,-39
18,23,74,-62,-115,-19
-2,3,73,-82,-114,-39
-22,23,74,-102,-94,-19
-23,3,73,-82,-74,-18
-22,4,74,-62,-54,-19
-23,24,73,-61,-34,-20
-24,44,74,-81,-14,0
-25,45,73,-61,-15,20
-24,46,74,-62,5,40
-25,47,73,-63,-15,60
-26,48,74,-83,5,61
-27,49,73,-63,-15,62
-28,50,74,-43,5,63
-29,51,75,-23,-15,43
-30,52,76,-24,-35,42
-31,53,77,-25,-15,22
-32,54,97,-5,-14,2
-33,34,96,15,-13,-18
-32,54,95,35,-33,2
-32,34,94,15,-33,-18
-32,33,93,14,-33,-19
-32,13,92,-6,-34,-18
-31,-7,91,-6,-33,2
-32,-27,71,-26,-33,-18
-32,-7,91,-6,-33,-38
-32,-27,90,-26,-33,-58
-32,-7,89,-46,-33,-59
-32,13,88,-47,-33,-79
-31,14,87,-48,-32,-99
-31,34,86,-28,-52,-119
-32,54,85,-29,-51,-118
-33,34,86,-30,-71,-98
-32,54,85,-50,-91,-78
-33,55,86,-49,-71,-58
-34,54,85,-48,-72,-38
-35,55,86,-68,-73,-18
-55,56,85,-48,-93,-38
-75,76,86,-68,-113,-18
