Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
68,84,59,-39,-9,-30
88,64,39,-59,-10,-29
68,44,19,-58,-30,-9
88,64,39,-57,-10,-8
68,44,59,-77,-30,12
88,64,39,-78,-31,13
89,44,19,-98,-51,14
69,64,18,-99,-71,-6
49,44,17,-79,-91,-26
69,64,16,-99,-71,-46
49,84,-4,-119,-72,-66
29,64,-5,-99,-73,-65
9,44,-6,-79,-53,-85
29,64,-7,-59,-54,-105
9,44,-8,-60,-34,-85
29,64,-9,-40,-54,-105
9,44,-8,-20,-34,-85
29,24,-9,0,-54,-105
9,4,-29,20,-34,-85
29,24,-49,0,-33,-105
49,4,-69,20,-53,-85
69,24,-89,40,-73,-105
49,4,-88,20,-53,-85
29,24,-108,0,-33,-105
9,4,-107,-20,-34,-106
29,24,-107,0,-14,-86
9,4,-107,-20,-15,-66
29,24,-107,0,5,-86
9,44,-107,-20,25,-66
29,24,-107,0,5,-46
9,4,-107,-20,25,-26
29,24,-107,0,5,-46
49,44,-107,-20,25,-26
29,24,-107,0,5,-27
9,4,-107,-20,6,-47
29,24,-107,0,26,-27
9,25,-107,-20,6,-47
-11,45,-107,0,26,-27
9,25,-107,-20,46,-47
10,5,-107,0,26,-27
-10,-15,-107,1,6,-47
-30,5,-107,21,-14,-27
-50,25,-107,22,-34,-47
-70,45,-107,23,-54,-27
-50,25,-107,24,-74,-7
-70,45,-107,4,-94,-27
-50,25,-107,3,-74,-47
-70,45,-107,4,-75,-27
-71,25,-107,3,-55,-47
-91,45,-107,4,-54,-27
-111,25,-107,3,-34,-47
-111,45,-107,-17,-54,-27
-91,25,-107,-18,-34,-47
-71,5,-107,-38,-33,-27
-91,-15,-107,-58,-32,-47
-71,5,-107,-57,-31,-27
-91,-15,-87,-77,-32,-47
-71,5,-107,-76,-31,-27
-91,25,-107,-96,-32,-26
-71,5,-107,-76,-31,-46
-91,25,-107,-96,-32,-26
-71,5,-106,-76,-31,-46
-91,25,-106,-96,-32,-26
-71,5,-106,-76,-31,-46
-91,25,-106,-96,-32,-26
-71,5,-106,-76,-31,-46
-91,25,-106,-96,-32,-26
-71,5,-106,-76,-52,-46
-91,25,-106,-96,-72,-26
-111,5,-106,-76,-92,-46
-91,25,-106,-96,-112,-26
-111,5,-106,-95,-113,-46
-91,25,-106,-115,-114,-26
-111,5,-106,-95,-94,-46
-91,25,-106,-115,-74,-26
-111,45,-106,-115,-54,-27
-111,25,-106,-115,-34,-47
-111,5,-106,-115,-14,-27
-111,25,-106,-115,6,-47
-111,45,-106,-115,7,-27
-111,65,-106,-115,8,-47
-111,66,-106,-115,9,-27
-111,46,-106,-115,29,-47
-110,26,-106,-115,28,-27
-110,6,-106,-115,27,-47
-90,26,-106,-115,28,-27
-70,6,-106,-115,27,-47
-50,26,-106,-95,28,-27
-30,6,-106,-115,8,-47
-31,26,-106,-95,-12,-27
-51,6,-106,-75,8,-47
-71,26,-106,-55,28,-27
-91,6,-106,-35,48,-47
-111,26,-106,-15,68,-48
-111,6,-106,-16,48,-47
-111,26,-106,4,68,-27
-110,46,-106,3,69,-47
-90,26,-107,23,49,-67
-110,46,-107,43,29,-47
-90,66,-107,42,9,-67
