Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
64,82,15,-17,-2,-61
44,83,-5,-18,-3,-61
24,103,-4,-19,-3,-62
23,104,-4,-20,-23,-82
24,84,-24,0,-22,-102
4,104,-4,1,-21,-82
-16,84,16,2,-41,-62
-17,64,17,-18,-61,-82
-17,63,37,-38,-81,-62
-37,83,38,-58,-82,-63
-57,84,58,-58,-102,-64
-77,83,57,-78,-103,-65
-76,84,56,-77,-83,-66
-76,83,55,-77,-63,-46
-96,82,54,-97,-83,-47
-76,62,53,-98,-63,-67
-75,42,52,-78,-43,-47
-55,62,32,-98,-42,-27
-35,63,52,-99,-22,-28
-15,83,53,-79,-23,-8
5,84,73,-80,-43,-7
6,64,93,-100,-23,-27
26,84,94,-120,-22,-28
6,85,93,-100,-23,-48
-14,84,92,-80,-43,-49
-34,64,93,-60,-23,-29
-14,65,92,-40,-43,-9
-13,45,93,-20,-63,-10
-33,25,73,-19,-43,-11
-13,26,72,-39,-63,-31
-33,46,71,-40,-43,-51
-13,66,70,-39,-63,-52
-33,67,69,-59,-43,-72
-13,68,70,-79,-63,-71
-33,48,50,-78,-43,-91
-53,28,70,-77,-63,-92
-54,8,71,-57,-43,-112
-55,-12,51,-37,-63,-92
-75,8,52,-38,-43,-72
-76,28,32,-18,-63,-71
-75,48,12,2,-43,-70
-95,28,32,-18,-63,-90
-96,27,31,-38,-43,-89
-76,47,51,-37,-63,-69
-56,67,71,-36,-43,-70
-56,87,51,-16,-63,-90
-36,86,52,4,-43,-89
-16,66,72,24,-63,-109
4,46,73,23,-43,-89
24,47,74,43,-63,-69
44,48,94,42,-43,-89
64,68,93,41,-63,-69
84,88,94,40,-43,-89
104,68,93,20,-63,-69
84,69,94,21,-43,-89
104,49,93,1,-63,-69
84,29,73,2,-62,-70
85,9,72,-18,-42,-90
65,29,71,-17,-62,-89
66,9,51,-37,-42,-69
65,8,52,-36,-62,-89
64,-12,32,-35,-82,-69
65,-32,52,-34,-62,-70
64,-12,32,-54,-42,-71
65,8,52,-55,-43,-91
64,28,32,-75,-23,-92
84,48,52,-76,-43,-93
85,68,51,-96,-23,-73
86,88,50,-76,-43,-93
85,108,30,-96,-42,-73
86,108,31,-97,-62,-93
85,88,32,-98,-61,-73
84,108,52,-99,-81,-93
85,88,72,-100,-61,-73
105,89,73,-99,-41,-93
106,69,74,-79,-21,-73
107,89,75,-78,-1,-93
108,69,95,-77,-2,-73
107,70,75,-97,-3,-93
108,50,76,-77,-4,-73
109,51,96,-76,-24,-93
110,31,95,-77,-44,-94
111,30,94,-57,-64,-93
112,29,74,-37,-84,-94
92,9,54,-17,-64,-95
93,-11,55,-18,-44,-94
73,9,56,-38,-43,-95
72,-11,57,-18,-23,-96
73,9,58,-17,-3,-97
93,-11,57,-16,-23,-96
73,9,58,-36,-43,-116
72,29,57,-56,-23,-117
73,9,37,-57,-43,-97
74,29,38,-58,-23,-77
75,9,37,-78,-43,-97
55,-11,38,-98,-42,-97
75,9,58,-98,-62,-96
95,8,57,-99,-82,-95
75,28,77,-98,-102,-94
95,29,78,-118,-103,-93
