Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
52,102,91,-69,-49,-115
32,82,71,-69,-29,-114
12,62,51,-70,-9,-113
-8,42,31,-90,-9,-112
-28,22,32,-89,-29,-111
-48,2,12,-88,-9,-91
-49,-18,-8,-108,11,-71
-29,-38,-7,-107,-9,-51
-30,-58,-6,-106,-29,-31
-30,-38,-5,-105,-49,-32
-31,-18,-25,-104,-50,-12
-32,2,-45,-84,-51,-13
-31,-18,-65,-85,-52,-33
-32,2,-66,-86,-53,-34
-33,-18,-66,-106,-54,-14
-34,2,-46,-86,-55,-15
-35,3,-26,-66,-56,-16
-36,2,-6,-65,-76,4
-16,1,14,-64,-75,3
4,-19,-6,-44,-95,-17
-16,-39,14,-24,-115,-37
4,-19,-6,-23,-114,-38
-16,1,14,-22,-94,-39
-15,21,-6,-21,-74,-59
-14,41,14,-41,-54,-39
-13,61,-6,-21,-34,-59
-12,81,14,-41,-14,-79
-11,101,-6,-42,6,-99
-10,101,14,-41,26,-119
-11,101,-6,-61,46,-99
-10,101,14,-41,26,-79
-30,101,-6,-21,46,-99
-29,101,14,-1,47,-119
-30,101,-6,-21,27,-99
-29,81,-5,-1,47,-119
-30,101,15,19,27,-99
-29,81,-5,18,7,-119
-30,101,-25,38,27,-99
-29,81,-45,37,47,-119
-30,61,-65,57,27,-99
-29,81,-45,58,47,-119
-30,101,-65,78,27,-99
-31,81,-85,58,26,-119
-30,101,-105,57,46,-99
-29,81,-106,58,26,-119
-30,61,-106,78,46,-118
-29,60,-106,77,45,-98
-30,40,-106,76,44,-97
-29,20,-106,75,24,-77
-30,0,-86,74,4,-78
-29,-20,-66,54,-16,-58
-30,-40,-46,34,-36,-38
-29,-20,-66,14,-16,-18
-30,0,-46,15,4,-19
-29,20,-66,-5,-16,-39
-30,0,-46,-4,4,-59
-29,20,-66,-3,-16,-79
-30,0,-46,-23,4,-99
-29,20,-26,-24,-16,-79
-30,0,-6,-25,4,-99
-29,20,14,-45,-16,-79
-49,0,-6,-46,4,-99
-48,20,14,-66,-16,-79
-68,0,-6,-67,4,-99
-69,-20,14,-87,-16,-79
-49,0,13,-88,4,-59
-69,20,-7,-89,-16,-79
-49,40,-27,-90,4,-59
-29,41,-47,-70,-16,-79
-49,42,-67,-90,-36,-99
-48,62,-47,-91,-16,-79
-28,82,-67,-92,4,-59
-27,102,-87,-93,-16,-79
-28,82,-107,-94,4,-59
-27,102,-107,-95,24,-79
-28,82,-106,-115,4,-99
-27,102,-106,-116,-16,-79
-26,82,-106,-96,-17,-99
-25,62,-106,-97,-37,-79
-24,82,-106,-98,-17,-59
-23,83,-106,-99,-37,-39
-22,63,-106,-100,-17,-19
-21,43,-106,-100,-37,1
-21,44,-106,-100,-17,21
-21,45,-106,-100,-37,41
-21,65,-106,-100,-17,61
-21,85,-107,-100,-37,41
-21,65,-108,-100,-17,61
-21,85,-109,-100,-37,41
-1,65,-110,-100,-17,61
-2,66,-90,-100,3,41
-3,67,-110,-100,-17,61
-2,68,-90,-100,-37,41
-3,69,-89,-100,-17,61
-2,68,-90,-80,-37,41
-3,69,-110,-80,-17,61
-2,68,-90,-80,-37,41
-3,69,-110,-80,-17,61
-2,68,-111,-80,-37,41
-3,67,-112,-80,-17,61
