Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
21,95,51,-61,-80,-27
22,75,31,-62,-60,-47
2,55,32,-63,-59,-48
1,56,12,-83,-60,-68
21,76,-8,-82,-59,-88
22,77,-28,-83,-58,-89
21,76,-29,-63,-57,-90
41,56,-49,-62,-56,-70
61,57,-50,-61,-55,-90
81,37,-49,-41,-54,-110
82,17,-50,-21,-74,-109
83,-3,-49,-22,-73,-89
63,17,-48,-23,-93,-69
64,37,-47,-43,-113,-70
65,36,-46,-44,-93,-71
66,37,-66,-45,-92,-51
67,38,-65,-25,-112,-52
68,18,-66,-5,-92,-32
69,-2,-86,-6,-91,-12
49,18,-66,-7,-111,-32
48,38,-65,-6,-110,-33
28,37,-85,-26,-90,-53
48,38,-65,-46,-89,-54
28,37,-45,-26,-69,-55
29,38,-44,-46,-68,-75
49,37,-64,-26,-48,-95
48,38,-63,-27,-28,-115
47,58,-62,-26,-8,-114
46,57,-61,-46,-9,-94
45,37,-81,-26,-10,-93
44,36,-101,-27,-30,-73
43,56,-81,-28,-31,-74
42,55,-82,-48,-30,-75
43,54,-102,-68,-50,-76
42,55,-82,-88,-70,-96
43,54,-81,-108,-71,-97
63,53,-101,-107,-72,-98
62,33,-81,-87,-52,-99
61,34,-61,-67,-51,-79
81,33,-41,-66,-31,-99
61,32,-42,-65,-30,-79
81,33,-43,-64,-29,-59
82,32,-42,-44,-49,-39
62,52,-62,-64,-29,-19
63,51,-63,-84,-28,-18
62,50,-83,-85,-8,-17
61,70,-82,-86,-7,-16
62,69,-62,-66,-6,-36
42,68,-42,-46,-26,-56
41,67,-41,-47,-25,-36
40,66,-61,-48,-5,-37
41,46,-41,-49,15,-38
61,47,-42,-29,-5,-58
62,48,-62,-49,-4,-59
63,49,-63,-50,-24,-60
43,69,-83,-30,-23,-40
42,68,-63,-50,-22,-20
22,67,-43,-70,-21,-19
42,87,-23,-69,-1,-20
41,88,-3,-70,19,0
42,89,-4,-71,39,1
62,69,-5,-51,39,-19
61,68,-25,-52,38,-39
81,48,-26,-51,58,-59
80,49,-46,-50,57,-79
80,50,-45,-30,56,-99
60,30,-44,-29,76,-119
61,29,-64,-28,75,-99
62,28,-84,-48,74,-79
63,29,-85,-49,94,-78
64,28,-86,-29,93,-77
44,29,-87,-30,73,-78
43,49,-107,-50,53,-58
23,29,-87,-70,54,-57
24,28,-86,-90,53,-56
44,29,-85,-91,33,-55
45,30,-105,-71,32,-54
65,10,-85,-72,12,-53
66,-10,-65,-52,-8,-33
86,10,-64,-72,-28,-34
87,30,-63,-92,-48,-35
86,29,-62,-93,-47,-55
66,9,-61,-113,-67,-75
65,-11,-81,-114,-66,-95
66,9,-82,-115,-46,-96
65,29,-83,-116,-45,-76
45,9,-63,-116,-44,-77
44,-11,-43,-117,-24,-97
43,-31,-23,-117,-4,-98
42,-51,-22,-118,-3,-78
43,-50,-2,-119,17,-58
42,-30,-22,-120,16,-38
41,-10,-2,-100,-4,-39
42,10,18,-80,-5,-19
43,30,38,-60,-25,-18
63,31,58,-59,-26,-17
83,32,57,-39,-27,-16
63,12,77,-40,-47,-15
83,-8,97,-39,-67,5
82,-9,98,-59,-68,6
