Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
93,114,74,-68,-15,-88
73,115,54,-67,-14,-68
53,115,74,-66,-34,-67
33,115,73,-46,-33,-47
13,95,72,-45,-53,-27
-7,115,52,-25,-52,-26
-27,115,32,-24,-72,-46
-47,116,12,-23,-52,-26
-27,96,32,-22,-72,-46
-28,76,52,-2,-92,-26
-8,96,32,-3,-93,-46
-9,76,12,-23,-94,-45
-10,96,-8,-22,-95,-65
-11,76,12,-2,-75,-85
9,77,11,-3,-76,-105
8,97,31,-2,-56,-104
28,77,11,-3,-36,-103
48,57,31,-2,-16,-102
68,37,32,-3,-17,-82
48,17,52,-23,3,-62
28,37,32,-3,-17,-82
48,17,12,-23,3,-83
68,37,32,-3,-17,-63
48,17,12,-23,-37,-43
28,37,32,-3,-36,-42
48,17,52,-23,-35,-41
28,37,32,-3,-55,-21
8,38,12,-4,-35,-1
7,58,32,-5,-34,-21
27,78,12,-6,-33,-41
26,58,32,-26,-32,-61
46,78,12,-46,-31,-81
66,58,32,-45,-51,-101
46,78,52,-44,-31,-101
66,98,72,-64,-30,-101
67,78,52,-84,-50,-101
47,58,72,-85,-30,-101
27,78,52,-86,-10,-101
7,98,32,-66,-9,-101
27,78,12,-46,-29,-101
7,98,-8,-45,-49,-101
27,99,12,-65,-48,-101
47,79,32,-85,-28,-101
27,99,12,-84,-27,-101
7,79,32,-104,-47,-101
6,59,12,-84,-27,-101
26,39,32,-64,-7,-81
25,19,12,-44,13,-101
24,39,32,-24,-7,-101
23,19,52,-4,13,-101
22,39,32,16,33,-101
21,19,12,36,53,-101
22,39,32,16,73,-81
21,38,12,36,93,-101
1,18,32,16,73,-101
-19,19,12,-4,93,-81
1,-1,32,-24,94,-101
21,-21,12,-4,95,-102
41,-1,32,-3,75,-82
61,19,52,-2,55,-83
41,39,72,18,35,-103
40,59,52,38,15,-104
60,79,32,58,-5,-84
40,99,12,38,-6,-85
60,119,-8,18,-26,-86
40,119,12,-2,-46,-66
40,99,32,-22,-45,-67
20,119,52,-2,-65,-47
0,99,72,-22,-45,-48
-20,79,52,-2,-25,-68
0,99,32,-3,-5,-88
20,79,33,-23,-4,-108
0,59,53,-43,-24,-107
20,39,73,-42,-44,-87
0,59,53,-62,-43,-67
20,39,73,-63,-42,-47
0,59,53,-43,-41,-27
-20,39,73,-63,-61,-28
0,19,53,-62,-81,-29
20,19,33,-42,-61,-30
0,-1,53,-22,-41,-50
20,19,33,-2,-21,-51
20,-1,13,18,-21,-52
0,-1,-7,-2,-21,-72
1,-1,13,-22,-21,-92
2,-1,-7,-42,-21,-93
-18,-1,13,-41,-21,-113
-38,-1,-7,-61,-21,-114
-39,-1,13,-81,-21,-94
-19,-1,33,-101,-21,-74
1,-1,13,-101,-21,-75
21,-1,-7,-101,-21,-76
41,-1,13,-101,-21,-96
21,-2,-7,-101,-1,-116
41,18,13,-101,-1,-117
21,-2,-7,-101,19,-118
41,18,13,-101,39,-119
21,-2,33,-101,59,-120
1,18,13,-101,79,-100
-19,-2,-7,-101,99,-80
