Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
48,18,36,-46,-27,-62
28,19,16,-47,-7,-42
8,18,15,-48,-6,-22
9,17,-5,-49,-26,-23
10,18,-25,-69,-26,-24
30,38,-45,-89,-46,-44
10,58,-25,-88,-26,-24
11,38,-5,-68,-27,-4
12,18,15,-48,-7,-3
-8,-2,35,-28,-6,-3
-9,18,55,-8,-26,-2
-10,18,75,12,-46,-3
-11,17,95,32,-45,-2
9,-3,75,52,-44,-22
10,-2,55,32,-24,-42
30,18,35,33,-4,-62
50,38,15,13,16,-42
70,58,-5,-7,-4,-43
69,38,-6,-27,-5,-63
68,18,-26,-28,15,-43
67,-2,-6,-48,14,-23
66,-1,-26,-49,34,-3
67,-21,-6,-50,14,17
66,-41,-26,-30,15,37
67,-61,-46,-31,16,57
66,-81,-66,-51,-4,77
65,-61,-46,-31,-24,78
64,-81,-66,-11,-44,77
65,-61,-46,9,-64,78
64,-41,-66,29,-84,77
63,-61,-86,30,-83,78
64,-41,-66,10,-82,77
63,-21,-86,9,-62,78
62,-1,-66,8,-42,58
63,19,-86,-12,-22,57
62,-1,-66,-11,-2,56
61,19,-86,-10,18,55
62,-1,-66,-11,17,54
61,19,-86,-31,-3,34
62,39,-66,-51,-23,33
61,19,-86,-31,-3,13
62,-1,-66,-51,17,14
42,-21,-86,-71,37,13
22,-21,-66,-70,57,-7
2,-41,-86,-50,37,-6
-18,-41,-66,-49,17,-5
2,-61,-86,-69,37,-4
22,-81,-66,-68,38,-3
21,-61,-86,-67,18,-2
41,-81,-66,-87,18,-22
61,-61,-86,-67,38,-21
62,-81,-66,-68,18,-22
63,-61,-86,-69,38,-42
62,-81,-66,-70,18,-22
63,-61,-86,-90,19,-2
83,-81,-66,-70,-1,18
82,-61,-86,-50,-21,38
83,-81,-85,-30,-21,58
63,-61,-65,-10,-21,57
62,-81,-85,10,-1,56
61,-61,-105,11,19,36
41,-81,-85,12,39,16
21,-61,-65,11,59,-4
20,-81,-85,12,39,-24
21,-61,-65,11,19,-25
1,-81,-85,12,39,-5
2,-61,-65,-8,19,15
3,-81,-85,12,39,14
4,-61,-65,-8,38,-6
5,-81,-85,-9,58,-26
-15,-61,-65,-10,38,-25
5,-81,-85,-9,39,-5
25,-61,-65,11,38,15
45,-81,-85,10,58,14
65,-61,-65,9,38,-6
85,-81,-85,8,18,14
84,-61,-65,-12,38,-6
85,-81,-85,-32,37,14
84,-61,-84,-52,57,34
85,-41,-64,-72,37,33
65,-21,-84,-73,57,32
85,-1,-85,-74,77,12
84,19,-65,-75,78,-8
83,39,-64,-55,58,-28
63,59,-44,-35,38,-8
43,79,-24,-15,58,-7
42,99,-4,5,57,-6
41,79,-24,4,77,-26
42,79,-4,3,57,-46
41,79,16,-17,56,-47
21,99,36,-18,55,-27
1,119,56,-38,54,-7
-19,119,36,-37,55,13
1,119,56,-36,54,-7
21,119,36,-35,34,-27
41,99,16,-34,14,-47
61,119,17,-14,-6,-48
81,119,37,6,14,-49
82,119,17,26,15,-50
62,119,-3,25,-5,-30
