Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
66,5,116,-60,-107,-18
67,-15,117,-59,-107,-38
66,-14,97,-39,-87,-38
67,-13,96,-19,-67,-39
68,-12,76,1,-47,-59
48,-32,56,21,-27,-79
49,-52,36,22,-26,-80
29,-72,16,42,-25,-100
28,-92,-4,22,-45,-120
8,-93,-3,2,-65,-100
-12,-113,-2,3,-64,-99
-11,-93,-22,-17,-63,-98
9,-94,-42,-37,-62,-118
-11,-95,-42,-57,-61,-98
-31,-115,-62,-56,-81,-78
-30,-95,-82,-36,-81,-58
-29,-75,-83,-35,-82,-38
-28,-74,-103,-34,-102,-18
-27,-73,-83,-14,-82,2
-47,-72,-84,-13,-62,3
-46,-71,-85,7,-42,4
-47,-70,-65,27,-22,24
-48,-69,-66,28,-2,44
-68,-69,-67,48,-1,64
-68,-70,-87,49,-21,65
-67,-90,-86,29,-1,45
-87,-91,-106,30,-2,25
-86,-111,-105,31,18,5
-66,-111,-85,32,17,4
-65,-112,-84,12,16,-16
-64,-111,-83,-8,36,-17
-63,-110,-82,12,16,-37
-83,-109,-82,11,15,-17
-103,-108,-62,12,-5,3
-83,-107,-42,-8,15,2
-63,-106,-22,-28,-5,22
-43,-106,-2,-27,15,2
-42,-86,-22,-47,-5,3
-41,-66,-42,-27,15,4
-41,-46,-22,-7,16,5
-21,-47,-2,-27,15,6
-1,-47,18,-7,35,26
19,-27,18,-8,15,25
-1,-28,-2,12,35,26
19,-48,18,11,34,25
-1,-28,19,10,54,26
-2,-29,18,-10,53,25
-22,-49,38,-30,33,45
-2,-50,58,-30,32,44
-22,-70,78,-10,52,43
-2,-71,58,-11,32,63
-3,-72,78,-12,52,62
-2,-92,98,-13,51,82
-22,-72,78,-33,50,62
-23,-52,58,-32,49,61
-43,-53,78,-12,48,60
-63,-54,58,-11,47,40
-83,-55,78,-31,27,60
-63,-56,77,-30,7,40
-43,-76,78,-50,-13,41
-44,-77,58,-49,-33,42
-45,-76,59,-48,-34,43
-25,-96,58,-47,-35,42
-5,-95,78,-67,-34,43
15,-75,98,-66,-54,42
-5,-76,78,-65,-34,43
-6,-75,77,-64,-35,63
-7,-95,97,-84,-15,83
-8,-115,117,-83,-35,63
12,-95,116,-82,-34,83
11,-96,96,-81,-35,63
-9,-97,97,-61,-34,64
-29,-98,77,-41,-35,63
-49,-99,57,-21,-34,64
-69,-79,56,-41,-35,63
-68,-78,36,-42,-15,64
-88,-79,35,-22,-14,84
-87,-99,36,-2,6,83
-86,-119,37,18,-14,63
-66,-118,38,18,-15,43
-46,-119,58,38,-16,23
-47,-118,58,38,-36,22
-27,-119,58,38,-37,42
-7,-120,78,58,-38,41
13,-100,77,59,-39,61
12,-80,57,79,-40,81
-8,-60,58,59,-20,101
-28,-59,78,79,0,101
-48,-60,58,99,20,100
-68,-60,57,119,40,101
-88,-60,56,119,60,100
-87,-60,57,119,61,101
-107,-40,37,119,60,81
-108,-40,57,99,80,82
-109,-40,56,79,60,62
-110,-40,36,99,80,63
-90,-40,16,98,60,64
-91,-20,-4,78,80,84
-111,0,-24,58,100,104
-91,20,-44,38,80,84
