Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
74,35,96,-5,-1,-32
94,15,76,-25,-2,-31
74,35,56,-24,-3,-51
94,15,36,-44,-4,-71
74,-5,16,-45,-3,-70
94,-25,-4,-44,-23,-71
114,-24,16,-64,-43,-70
94,-4,15,-65,-63,-69
74,16,-5,-66,-62,-68
54,-4,-25,-67,-61,-48
55,16,-24,-87,-62,-28
75,-4,-24,-86,-82,-29
95,16,-4,-85,-102,-9
75,16,-4,-84,-101,-10
55,16,-4,-64,-81,-30
35,16,-4,-65,-61,-31
36,16,-4,-66,-41,-32
56,16,-4,-86,-21,-12
36,16,-4,-87,-1,-13
37,16,-4,-107,19,-33
57,16,-4,-106,39,-34
77,16,-4,-105,59,-14
57,16,-4,-85,79,-34
77,16,-4,-65,99,-35
57,16,-4,-45,119,-36
77,16,-4,-46,119,-16
57,16,-4,-26,119,-17
77,16,-4,-6,119,-37
57,16,-4,14,99,-57
77,15,16,-6,119,-58
57,-5,36,-6,119,-59
77,-25,56,14,119,-39
97,-45,76,13,119,-59
117,-65,96,33,119,-79
97,-85,76,53,119,-59
117,-105,96,52,119,-39
117,-105,116,72,119,-19
97,-105,96,52,119,1
77,-105,76,51,99,-19
97,-105,96,50,119,1
77,-105,116,30,99,0
57,-105,96,10,119,20
37,-105,116,-10,99,40
17,-106,96,-30,119,60
37,-86,116,-50,119,61
17,-66,96,-49,119,81
37,-46,116,-48,99,61
17,-66,96,-28,119,81
-3,-86,76,-8,118,61
17,-66,56,-7,118,81
37,-86,76,-6,118,101
17,-66,96,-5,118,101
37,-46,76,15,119,81
17,-66,96,14,119,61
37,-46,95,34,99,41
17,-66,75,54,98,21
16,-46,55,74,78,1
-4,-26,35,73,77,21
16,-6,15,53,57,1
-4,-26,-5,33,58,-19
16,-46,15,13,57,-39
-4,-26,-5,-7,56,-38
16,-6,15,13,55,-37
-4,-26,-5,-7,54,-57
16,-6,15,13,53,-77
-4,-26,-5,-7,52,-76
16,-6,15,-27,51,-75
-4,14,-5,-7,50,-95
16,34,-25,-27,30,-75
-4,54,-45,-47,29,-95
16,34,-65,-67,28,-75
-4,54,-85,-87,27,-95
16,55,-105,-88,26,-75
-4,75,-105,-108,25,-95
16,95,-105,-109,26,-75
-4,75,-105,-110,27,-95
16,74,-105,-109,26,-75
-4,94,-105,-110,25,-95
16,93,-105,-111,24,-75
-4,73,-105,-91,23,-95
16,53,-85,-71,43,-75
-4,73,-65,-72,63,-95
16,53,-64,-52,83,-94
-4,73,-44,-53,63,-93
16,53,-24,-54,43,-94
-4,33,-24,-34,44,-95
-3,13,-4,-14,43,-75
17,33,16,-34,23,-55
37,32,-4,-54,3,-35
17,52,16,-34,4,-15
-3,72,36,-35,5,-16
17,52,56,-55,25,-36
37,72,76,-56,24,-16
17,52,96,-76,44,4
37,72,76,-77,43,24
17,92,96,-97,42,44
37,72,97,-98,22,24
17,52,117,-99,21,44
37,32,97,-79,1,64
17,52,77,-78,0,84
