Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
6,-66,86,-10,107,75
-14,-65,87,-11,107,76
-15,-85,86,-12,87,77
-35,-65,66,-13,67,78
-15,-64,65,-33,47,58
5,-44,45,-34,27,38
4,-24,44,-35,28,18
-16,-4,64,-55,8,-2
-36,16,65,-75,-12,-22
-56,36,64,-76,-11,-42
-36,56,63,-77,-31,-43
-16,57,83,-78,-51,-63
4,37,103,-79,-50,-64
24,36,102,-99,-49,-84
44,35,82,-119,-50,-85
24,36,81,-118,-49,-86
25,56,82,-117,-69,-87
26,55,62,-116,-70,-88
46,54,61,-115,-90,-89
45,53,81,-114,-110,-109
44,73,82,-113,-111,-110
43,72,62,-112,-91,-109
42,71,62,-92,-91,-89
42,91,62,-72,-92,-109
42,71,62,-73,-93,-109
41,70,42,-74,-94,-89
21,50,22,-75,-95,-69
41,49,2,-76,-96,-49
21,29,1,-77,-97,-50
20,49,0,-57,-117,-51
40,29,-20,-58,-118,-71
20,49,-40,-38,-119,-51
0,29,-20,-39,-118,-31
1,49,0,-59,-118,-32
21,48,20,-79,-98,-33
21,49,40,-78,-98,-53
41,48,60,-58,-78,-33
42,28,80,-59,-79,-34
22,48,81,-60,-80,-35
42,47,82,-40,-60,-55
62,67,83,-20,-40,-56
42,68,63,-19,-20,-36
22,69,83,-18,0,-16
23,89,84,-17,0,-15
24,69,104,3,0,-14
4,49,105,2,0,-13
5,29,85,1,0,-12
6,30,86,1,0,-13
5,50,87,1,0,-33
-15,49,88,1,0,-53
-14,29,89,1,20,-73
6,49,88,0,20,-74
-14,50,68,-20,21,-75
6,51,88,-20,20,-95
26,52,89,-20,20,-115
6,53,90,-20,20,-95
26,33,89,-20,0,-75
46,32,69,-20,0,-55
45,33,49,-19,-20,-35
44,32,69,-39,-19,-15
64,33,89,-38,-39,5
63,34,90,-38,-59,6
83,54,91,-58,-79,-14
84,53,90,-59,-99,-13
104,52,70,-58,-79,-12
84,53,69,-38,-78,-13
85,52,49,-37,-58,-33
84,32,69,-36,-57,-53
83,52,49,-56,-77,-54
63,32,69,-76,-78,-55
64,52,89,-77,-98,-75
65,72,109,-78,-99,-95
85,71,110,-98,-119,-75
84,51,109,-97,-118,-55
64,71,108,-77,-119,-35
65,70,88,-78,-120,-15
45,50,89,-79,-100,-14
46,30,90,-80,-100,-34
47,10,91,-60,-99,-54
46,11,71,-40,-79,-34
66,10,51,-39,-59,-14
46,11,71,-19,-39,6
66,31,91,-18,-19,7
46,51,92,-17,1,8
47,71,93,3,21,9
67,72,94,2,20,-11
87,92,95,-18,0,-31
67,72,96,-19,-20,-30
87,52,97,-19,-40,-50
88,51,77,-18,-39,-51
87,31,97,-17,-59,-71
86,11,117,-37,-79,-91
66,10,97,-36,-99,-111
65,30,77,-35,-98,-112
66,10,76,-15,-97,-113
65,11,75,-35,-117,-93
66,31,74,-34,-116,-94
65,30,94,-54,-115,-74
66,10,93,-54,-114,-74
65,30,94,-53,-94,-54
