Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
95,78,55,-33,-114,-22
96,58,35,-32,-115,-42
97,38,15,-33,-95,-43
98,18,35,-32,-75,-44
78,-2,55,-52,-74,-45
77,-22,54,-53,-73,-65
57,-42,55,-52,-72,-85
56,-62,75,-53,-71,-84
55,-42,75,-52,-70,-64
54,-22,55,-53,-71,-84
54,-42,35,-52,-72,-64
55,-22,35,-53,-73,-84
54,-42,55,-52,-72,-64
54,-22,35,-53,-73,-84
53,-42,55,-52,-72,-64
52,-22,75,-53,-73,-84
51,-23,55,-52,-72,-64
50,-3,35,-53,-73,-65
49,17,15,-52,-72,-85
48,37,-5,-53,-73,-65
47,57,15,-52,-72,-85
46,37,-5,-53,-52,-65
47,57,-25,-53,-52,-85
46,37,-5,-53,-52,-65
45,36,15,-53,-52,-85
46,16,-5,-53,-52,-65
45,36,-4,-53,-52,-85
46,56,16,-54,-51,-65
47,76,36,-34,-50,-45
46,96,16,-14,-51,-25
45,76,-4,6,-50,-26
44,96,16,26,-51,-27
43,76,36,6,-71,-28
42,56,16,26,-72,-29
41,36,16,6,-73,-28
42,36,16,-14,-72,-27
41,36,16,6,-73,-28
42,36,16,7,-72,-27
41,36,16,27,-73,-28
42,36,16,47,-72,-27
41,36,16,67,-73,-28
42,36,16,87,-72,-27
41,36,16,67,-73,-47
42,36,16,87,-72,-48
41,36,17,67,-73,-47
42,16,-3,47,-72,-48
43,36,17,67,-73,-47
42,16,-3,87,-72,-48
43,36,17,67,-73,-47
42,16,-3,87,-72,-48
41,36,17,67,-73,-47
42,16,-3,47,-72,-48
41,36,17,27,-73,-47
42,16,18,7,-72,-48
43,36,38,8,-73,-47
23,16,18,-12,-72,-48
22,36,38,-11,-73,-47
21,16,18,-31,-72,-48
20,36,38,-11,-73,-47
21,37,18,9,-72,-48
20,17,38,29,-73,-47
0,37,39,9,-72,-48
1,57,38,-11,-73,-47
2,77,18,9,-72,-48
3,97,38,10,-73,-47
4,77,18,30,-72,-48
5,76,38,10,-73,-47
25,96,18,-10,-53,-48
24,76,38,10,-52,-47
25,96,18,30,-53,-48
26,76,38,50,-52,-47
27,96,18,70,-53,-48
26,116,-2,50,-52,-47
27,96,18,70,-53,-48
26,116,-2,50,-52,-47
27,96,18,70,-53,-48
26,116,38,50,-33,-47
27,96,58,70,-32,-48
26,116,38,90,-31,-28
27,96,18,70,-30,-27
26,76,38,50,-29,-26
27,96,18,30,-28,-27
26,76,38,10,-28,-26
27,96,18,11,-27,-25
26,76,38,12,-28,-24
27,96,18,13,-27,-25
26,76,38,-7,-28,-24
27,96,18,-6,-27,-23
26,76,38,-5,-28,-22
27,96,18,15,-27,-21
26,76,38,-5,-28,-22
27,96,18,15,-27,-2
28,76,18,35,-28,-3
27,96,-2,55,-27,-3
26,76,18,56,-28,-2
27,96,18,76,-27,-3
26,96,-2,76,-28,-3
27,116,18,96,-27,-2
28,116,18,76,-7,-3
27,96,-2,76,-8,-3
