Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
25,109,45,-79,-15,-63
5,108,25,-99,-14,-64
-15,107,5,-79,-13,-44
-16,87,-15,-59,-33,-45
4,86,-35,-39,-32,-65
24,87,-55,-19,-52,-85
4,67,-75,-39,-51,-105
-16,66,-95,-40,-50,-106
4,67,-115,-60,-49,-107
-16,68,-115,-59,-48,-108
-17,48,-115,-60,-47,-88
-18,49,-115,-59,-27,-68
-19,50,-115,-79,-26,-67
-18,51,-115,-99,-25,-66
-19,50,-115,-79,-24,-86
-18,51,-115,-99,-23,-66
-19,50,-115,-79,-22,-46
1,51,-115,-59,-2,-26
21,50,-116,-39,-1,-6
41,51,-115,-38,-21,-5
61,50,-116,-58,-1,-4
62,49,-115,-57,-2,-24
63,48,-116,-56,18,-44
64,49,-115,-36,17,-43
63,48,-116,-56,-3,-63
64,28,-115,-76,-23,-83
65,29,-116,-96,-22,-63
64,30,-117,-76,-21,-83
65,31,-116,-56,-41,-103
64,32,-117,-36,-61,-102
65,33,-116,-16,-81,-82
45,34,-117,4,-101,-62
44,54,-116,5,-102,-82
43,74,-117,25,-103,-62
42,54,-116,45,-104,-42
41,34,-117,65,-84,-22
42,35,-116,85,-64,-2
41,36,-117,65,-44,-3
42,37,-116,85,-24,-4
41,38,-117,65,-24,-5
42,39,-116,85,-4,-6
41,38,-117,65,-5,-26
21,37,-97,45,-25,-46
22,57,-96,25,-45,-47
21,37,-95,24,-44,-67
22,38,-96,44,-43,-87
2,39,-95,24,-63,-107
1,19,-96,4,-43,-106
0,18,-95,-16,-23,-86
20,17,-115,4,-22,-66
21,16,-116,-16,-23,-46
22,36,-115,-15,-22,-47
42,16,-116,-14,-2,-48
41,15,-117,-13,18,-49
42,14,-116,-12,38,-69
41,34,-117,-32,58,-70
40,33,-116,-12,78,-90
41,34,-117,-11,58,-110
21,54,-116,9,57,-111
20,74,-117,-11,37,-91
21,75,-116,-31,17,-92
22,76,-117,-51,-3,-93
21,96,-118,-71,-2,-113
20,76,-119,-72,-22,-93
21,56,-120,-52,-42,-92
1,55,-120,-53,-43,-112
21,56,-120,-54,-44,-92
22,55,-120,-74,-64,-72
42,56,-120,-94,-65,-52
43,55,-120,-114,-66,-32
42,56,-120,-94,-65,-12
43,55,-120,-74,-66,8
42,54,-120,-54,-46,28
41,55,-120,-34,-26,8
42,56,-120,-14,-25,-12
41,57,-120,-15,-26,-32
42,56,-100,-35,-27,-31
22,57,-99,-15,-47,-51
2,56,-100,5,-67,-71
1,55,-99,25,-87,-51
21,54,-100,5,-86,-50
22,55,-120,25,-106,-70
21,54,-120,5,-107,-90
22,53,-120,25,-87,-70
23,54,-120,24,-67,-69
23,53,-120,4,-66,-89
22,52,-120,3,-67,-88
21,53,-120,-17,-68,-108
22,54,-120,-18,-69,-88
21,55,-120,-38,-70,-68
22,56,-120,-39,-71,-48
21,55,-119,-40,-91,-28
22,56,-118,-20,-92,-8
21,57,-119,-40,-91,-7
22,56,-118,-60,-111,13
21,36,-119,-80,-112,-7
22,37,-99,-80,-111,-8
21,57,-98,-60,-111,-9
20,58,-99,-40,-111,11
21,38,-98,-39,-112,-9
