Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
96,46,100,-12,-36,-85
76,26,80,8,-35,-86
56,46,60,7,-34,-87
36,66,40,-13,-33,-67
16,86,20,-13,-34,-68
17,66,0,-33,-35,-48
-3,46,-20,-53,-36,-28
17,66,-40,-73,-37,-29
-3,46,-20,-93,-36,-9
17,66,0,-73,-37,-10
-3,46,-20,-93,-38,10
17,66,-40,-73,-37,30
18,46,-60,-93,-38,50
-2,66,-40,-73,-37,30
-22,46,-60,-93,-38,31
-2,26,-40,-73,-37,11
-22,46,-60,-93,-38,10
-2,26,-40,-73,-37,-10
-22,6,-20,-53,-38,10
-2,-14,-40,-73,-37,-10
-22,6,-20,-93,-38,10
-2,-14,-40,-73,-37,-10
-22,6,-20,-93,-38,10
-2,-14,-40,-113,-37,-10
-22,6,-20,-112,-38,10
-2,-14,0,-92,-37,-10
-22,6,-20,-72,-57,10
-2,-14,-40,-52,-58,-10
-22,6,-60,-32,-78,10
-2,-14,-40,-12,-98,-10
-22,6,-60,-11,-78,10
-2,-14,-40,9,-98,-10
-22,6,-60,-11,-78,10
-23,-14,-60,-31,-98,-10
-3,-34,-40,-11,-78,10
-4,-14,-20,-31,-98,-10
-24,-34,0,-30,-78,10
-44,-14,20,-10,-98,30
-24,-15,0,10,-78,50
-44,5,20,30,-98,50
-45,-15,0,10,-78,30
-25,5,1,10,-58,50
-45,-15,21,30,-78,50
-25,-35,41,10,-98,30
-45,-15,21,10,-78,50
-25,5,22,30,-98,50
-45,25,2,10,-118,30
-25,45,22,10,-98,50
-45,25,21,30,-78,50
-25,5,1,10,-98,30
-45,-15,-19,10,-78,50
-25,-35,1,11,-98,49
-45,-15,21,31,-78,48
-25,-35,1,51,-98,28
-45,-15,21,31,-97,27
-25,-35,1,32,-117,28
-5,-15,21,12,-97,27
-25,5,1,-8,-77,7
-5,-15,21,-7,-97,-13
-25,5,1,-27,-98,-14
-45,-15,-19,-47,-78,-14
-25,5,1,-67,-98,-15
-45,5,21,-66,-78,-15
-25,5,1,-46,-98,-15
-45,5,2,-26,-78,-14
-25,25,-18,-6,-98,-15
-26,24,-38,14,-78,-14
-46,4,-18,34,-98,-15
-66,-16,-38,14,-78,-35
-86,-36,-18,34,-79,-34
-66,-16,2,14,-99,-35
-46,-36,-18,34,-79,-55
-66,-16,2,14,-99,-75
-46,-36,-18,34,-100,-95
-66,-16,-38,14,-120,-94
-86,-36,-18,34,-100,-114
-66,-16,2,14,-80,-114
-86,-36,22,-6,-60,-114
-66,-16,2,14,-40,-113
-46,-36,22,34,-20,-93
-66,-37,2,14,0,-113
-86,-17,-18,34,20,-93
-85,3,-38,14,0,-113
-84,23,-58,-6,20,-112
-83,3,-78,-7,40,-113
-63,-17,-98,-8,60,-93
-83,3,-118,-9,40,-113
-103,-17,-98,-29,60,-112
-83,3,-97,-30,40,-111
-63,-17,-117,-31,60,-111
-43,3,-97,-32,40,-111
-23,-17,-77,-12,60,-111
-3,3,-97,-32,40,-111
-23,-17,-77,-52,60,-111
-3,3,-97,-32,40,-111
-23,-17,-117,-12,60,-111
-3,3,-97,-32,60,-111
-23,-17,-117,-12,61,-111
-24,3,-97,-32,62,-111
-44,23,-117,-33,63,-111
