Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
50,13,75,-6,-76,-16
30,33,55,-26,-77,-17
29,13,75,-27,-57,-18
49,12,95,-47,-58,-19
29,11,75,-46,-59,-39
49,10,74,-26,-60,-40
48,30,73,-25,-80,-39
68,10,53,-5,-100,-19
67,30,54,-25,-99,-18
68,10,53,-45,-119,-17
67,30,54,-25,-99,-16
66,10,74,-5,-79,-36
65,30,94,-4,-59,-56
64,10,74,-3,-39,-55
44,30,54,-2,-40,-54
24,29,74,-1,-20,-53
44,49,94,-21,-40,-33
24,69,74,-21,-20,-13
44,68,54,-41,0,-12
24,67,34,-21,1,-32
23,66,33,-1,2,-31
22,86,53,19,-18,-30
42,85,52,18,-38,-29
41,86,51,38,-58,-49
40,87,31,18,-78,-50
60,86,51,-2,-98,-51
61,87,31,-1,-118,-31
81,86,51,-2,-119,-32
80,87,31,-22,-99,-33
60,86,32,-21,-100,-53
80,87,52,-22,-80,-52
60,88,72,-42,-79,-51
61,87,92,-22,-78,-50
81,107,72,-2,-77,-49
61,106,73,-3,-97,-69
81,86,93,-4,-98,-68
61,87,73,-24,-78,-67
62,88,93,-25,-98,-66
63,87,73,-5,-78,-65
62,88,93,-25,-98,-85
61,87,73,-24,-78,-65
62,88,93,-4,-98,-66
42,87,73,-24,-78,-46
43,88,53,-23,-98,-26
42,87,73,-3,-78,-6
41,88,53,-4,-98,-5
61,89,54,-4,-78,-25
81,88,55,16,-79,-24
82,87,75,15,-80,-44
62,88,95,16,-79,-24
42,87,75,17,-99,-4
22,88,76,18,-79,-24
42,87,96,19,-99,-4
22,88,116,-1,-79,-24
21,89,96,-21,-59,-4
41,90,76,-41,-39,-5
21,89,56,-61,-19,-25
41,88,57,-62,-39,-45
40,87,77,-82,-38,-65
20,88,57,-81,-58,-85
40,87,37,-61,-38,-84
41,88,36,-62,-37,-83
40,87,56,-42,-36,-103
40,88,76,-22,-56,-83
20,87,56,-23,-36,-63
0,86,76,-43,-16,-64
20,87,96,-23,-15,-84
40,88,76,-3,-35,-104
41,89,96,17,-55,-84
61,90,76,18,-56,-85
41,89,75,19,-76,-86
21,90,55,39,-96,-87
1,91,54,19,-76,-67
21,111,34,39,-77,-47
22,112,33,19,-97,-27
2,92,32,-1,-77,-7
22,72,31,-2,-97,-8
2,92,30,-22,-98,-28
22,93,50,-23,-99,-48
2,94,30,-24,-79,-49
22,93,29,-44,-59,-29
2,94,49,-24,-39,-9
22,95,69,-25,-40,-10
2,96,49,-5,-60,-11
22,97,29,-4,-80,-31
23,96,49,-3,-100,-32
43,97,69,-2,-120,-33
44,98,89,18,-100,-32
45,97,69,17,-99,-31
46,96,49,37,-119,-51
66,95,50,57,-99,-52
86,94,30,77,-79,-53
106,93,10,78,-59,-33
86,94,30,98,-58,-34
66,93,50,118,-38,-14
86,94,30,118,-39,-13
66,93,50,119,-40,-12
86,94,30,119,-39,-11
85,93,50,99,-19,-10
105,113,30,79,1,-30
