result
27
36
36
55
61
50
55
49
65
68
72
76
74
78
89
91
83
89
75
73
79
107
93
101
93
94
99
91
90
103
106
110
119
94
114
124
118
109
111
108
105
113
121
117
118
113
114
128
123
121
135
120
122
127
133
127
127
123
129
127
137
