Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
74,112,76,-30,-75,-9
54,92,56,-31,-55,-10
34,93,57,-32,-35,-11
33,92,58,-33,-34,-12
34,93,78,-53,-33,-32
33,94,58,-54,-33,-52
34,95,38,-53,-32,-51
54,96,58,-73,-52,-71
34,97,38,-72,-52,-91
54,77,18,-71,-51,-90
53,78,19,-70,-31,-110
73,58,18,-69,-11,-90
53,57,17,-70,9,-91
52,77,16,-50,8,-111
72,97,17,-30,-12,-91
71,96,18,-29,-32,-90
91,76,38,-28,-52,-70
90,77,37,-27,-72,-71
91,78,38,-26,-52,-51
92,98,37,-46,-32,-31
72,78,36,-66,-33,-11
73,58,35,-86,-34,-10
74,57,34,-106,-54,-9
94,37,54,-105,-55,-8
74,57,53,-104,-56,-7
75,56,33,-103,-76,-6
95,57,34,-102,-96,-5
75,56,35,-82,-97,-4
55,76,34,-62,-77,-24
56,75,14,-61,-78,-23
57,76,13,-81,-58,-24
58,77,33,-101,-59,-44
38,78,32,-102,-79,-43
39,98,52,-103,-59,-42
59,78,51,-103,-39,-41
39,79,71,-83,-59,-21
38,78,51,-84,-79,-22
39,58,50,-85,-99,-2
38,78,49,-65,-79,-1
37,58,69,-66,-80,-2
57,78,89,-67,-60,-3
56,58,69,-47,-80,17
76,78,68,-48,-100,16
75,58,88,-68,-120,36
55,57,68,-88,-100,56
54,58,88,-108,-80,55
53,78,68,-107,-60,54
33,98,48,-106,-40,55
32,97,47,-86,-20,54
33,77,27,-87,-19,53
34,76,7,-107,-39,52
35,56,6,-108,-38,51
34,57,5,-109,-18,31
54,58,4,-110,-19,11
53,38,24,-90,1,-9
52,18,4,-91,-19,-10
72,17,24,-90,-39,-11
92,18,23,-91,-19,-12
93,17,43,-90,-39,-13
92,37,23,-91,-38,-14
93,57,43,-111,-58,-15
94,58,23,-112,-57,-35
74,57,43,-113,-77,-34
54,58,23,-114,-78,-35
53,78,43,-115,-79,-36
54,58,42,-116,-99,-56
74,38,41,-96,-98,-57
75,58,40,-76,-99,-56
76,38,41,-77,-119,-57
77,37,61,-97,-118,-58
78,38,81,-117,-98,-59
98,39,61,-118,-99,-60
78,59,41,-98,-100,-40
77,59,21,-78,-80,-39
57,79,22,-58,-100,-38
77,78,23,-58,-99,-37
97,98,24,-38,-100,-36
96,99,25,-18,-120,-35
76,98,45,2,-120,-34
75,78,25,1,-120,-33
76,98,5,0,-100,-53
75,97,-15,-20,-80,-73
74,77,5,0,-100,-72
94,97,4,0,-99,-71
93,96,5,0,-79,-91
73,97,4,-20,-59,-92
74,77,5,-19,-39,-112
54,78,4,-18,-59,-111
74,77,3,-17,-79,-91
73,78,23,-16,-99,-90
53,77,43,-36,-119,-89
52,57,23,-56,-118,-69
51,56,22,-55,-98,-68
50,55,42,-54,-78,-88
70,56,22,-34,-58,-108
90,55,21,-14,-59,-107
70,35,41,-13,-39,-106
90,55,21,-12,-40,-105
70,56,22,-32,-60,-104
90,55,23,-12,-80,-103
