Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
43,31,102,-69,-85,-87
23,32,82,-70,-84,-107
43,52,81,-50,-83,-108
63,51,61,-30,-103,-109
64,52,41,-10,-83,-108
65,51,42,-11,-63,-107
66,50,62,-10,-43,-87
65,49,61,-11,-44,-67
64,50,81,-12,-43,-47
65,49,80,-32,-23,-27
64,50,100,-33,-43,-26
65,70,100,-53,-63,-46
64,90,100,-73,-62,-45
63,70,101,-53,-82,-65
64,69,81,-33,-83,-85
44,89,61,-34,-63,-86
64,88,81,-54,-62,-106
44,108,61,-34,-63,-105
45,108,41,-14,-64,-104
46,107,42,-15,-84,-104
26,106,43,-35,-64,-84
25,107,42,-55,-64,-84
24,87,41,-56,-44,-64
23,67,42,-57,-24,-44
22,68,62,-58,-25,-24
42,88,63,-59,-45,-23
62,89,64,-79,-65,-22
63,69,65,-99,-45,-2
83,70,66,-79,-46,-22
82,71,46,-80,-47,-2
81,70,47,-100,-48,-22
82,71,27,-120,-28,-2
83,72,47,-120,-8,-22
82,73,27,-100,-9,-2
81,72,26,-80,-10,-1
61,73,25,-80,-30,-21
81,72,24,-60,-31,-41
61,92,44,-40,-51,-42
81,93,24,-20,-52,-62
61,73,44,-19,-72,-82
60,53,24,-39,-92,-83
40,33,44,-38,-93,-103
20,34,24,-58,-73,-83
21,35,44,-78,-74,-63
22,36,45,-98,-94,-62
21,56,46,-118,-114,-82
22,57,66,-98,-94,-62
42,77,67,-78,-74,-63
62,97,68,-58,-73,-64
63,98,67,-38,-72,-65
64,78,68,-37,-92,-66
65,77,88,-36,-72,-46
45,76,68,-56,-92,-45
25,75,69,-76,-72,-25
26,76,70,-77,-52,-26
46,75,71,-97,-32,-27
45,95,51,-77,-52,-28
25,96,50,-57,-51,-48
45,76,30,-37,-50,-49
44,75,29,-17,-50,-69
24,74,49,-18,-30,-89
25,73,29,-19,-29,-69
26,93,49,-39,-30,-89
25,94,69,-59,-50,-69
45,74,70,-79,-70,-89
44,94,50,-99,-90,-109
43,74,30,-119,-110,-89
23,54,50,-99,-109,-69
24,74,49,-79,-89,-49
44,75,48,-59,-88,-48
45,55,68,-58,-87,-47
44,35,69,-78,-86,-46
43,36,70,-58,-85,-26
63,56,69,-38,-84,-25
83,55,70,-18,-64,-26
82,35,50,-38,-44,-46
62,36,51,-39,-24,-26
63,56,52,-40,-4,-27
83,55,53,-60,-3,-7
84,35,33,-80,-2,-6
83,36,32,-100,-22,-5
84,56,31,-80,-42,-25
85,76,30,-79,-62,-45
65,77,29,-78,-82,-65
85,78,49,-98,-83,-85
84,79,29,-78,-63,-84
83,78,28,-77,-62,-104
84,79,29,-76,-61,-105
104,78,49,-75,-41,-85
84,98,50,-55,-21,-105
83,97,70,-35,-1,-85
63,77,71,-15,19,-86
43,57,72,-14,18,-87
44,56,73,-34,-2,-88
24,76,93,-54,-3,-68
44,56,94,-74,-4,-88
64,36,95,-94,-24,-68
63,56,94,-74,-44,-69
83,57,74,-54,-45,-70
82,77,75,-34,-46,-71
