Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
45,74,99,-118,-69,-65
25,54,98,-117,-68,-66
26,55,97,-116,-88,-65
27,54,98,-117,-89,-64
47,34,97,-118,-90,-63
27,54,98,-98,-91,-62
26,34,78,-97,-71,-63
46,54,58,-77,-51,-64
26,53,38,-57,-50,-44
27,33,37,-37,-49,-43
47,53,17,-38,-29,-63
67,33,37,-39,-28,-83
68,53,36,-59,-27,-82
69,73,37,-60,-28,-81
68,53,36,-80,-48,-61
69,54,37,-100,-49,-41
89,74,38,-120,-48,-42
88,94,18,-100,-68,-62
89,95,-2,-80,-88,-63
88,75,-22,-79,-89,-64
68,55,-2,-78,-90,-84
69,56,18,-77,-91,-83
49,76,-2,-97,-71,-82
29,75,18,-96,-51,-81
49,74,38,-76,-31,-101
29,73,18,-77,-30,-81
30,72,38,-97,-31,-61
50,73,18,-117,-32,-62
30,53,38,-116,-33,-63
29,54,18,-96,-34,-64
49,34,17,-95,-33,-65
29,33,18,-75,-34,-85
49,32,17,-74,-33,-86
50,31,16,-54,-32,-87
49,51,15,-55,-31,-67
29,52,35,-56,-30,-68
28,53,55,-55,-50,-69
29,73,56,-54,-51,-70
30,93,57,-53,-52,-90
31,92,58,-33,-32,-110
32,93,57,-13,-12,-111
31,73,58,-14,-11,-112
51,74,38,-15,-10,-113
50,75,37,-16,-9,-93
51,76,38,-36,-8,-73
31,96,37,-37,-7,-72
30,97,38,-57,-6,-52
50,96,18,-58,-5,-32
49,76,17,-59,-4,-33
48,77,18,-60,-24,-13
28,97,19,-80,-23,-14
27,98,19,-100,-22,-34
28,118,-1,-120,-21,-14
27,98,-1,-100,-41,-15
28,97,-2,-80,-42,-14
27,77,-22,-60,-43,-15
47,97,-2,-40,-44,-16
27,96,-22,-20,-45,-17
26,95,-2,0,-25,-18
25,75,18,20,-26,-19
45,74,17,40,-27,1
44,73,37,60,-7,-19
43,72,17,80,-8,-20
63,73,18,100,-28,-40
43,72,38,100,-48,-39
63,71,37,100,-49,-59
64,51,38,100,-50,-79
63,52,58,100,-30,-78
43,72,78,100,-10,-77
42,71,77,100,-11,-97
41,70,97,100,-12,-96
21,69,96,100,-13,-116
20,68,97,100,-33,-117
0,88,96,100,-34,-118
0,89,76,101,-35,-119
0,69,77,101,-36,-120
1,68,76,101,-37,-100
21,67,77,101,-36,-80
22,66,76,81,-35,-60
21,67,77,82,-15,-59
22,66,76,83,-35,-58
21,46,56,103,-34,-57
20,47,55,103,-35,-56
21,27,54,103,-34,-55
41,28,74,103,-54,-55
42,27,75,103,-53,-75
41,26,95,103,-52,-95
42,27,96,103,-51,-115
41,26,97,103,-50,-116
42,46,77,102,-30,-117
41,47,97,102,-29,-97
21,27,77,102,-28,-96
22,7,97,102,-27,-95
21,27,77,102,-26,-94
22,26,78,102,-25,-74
23,46,58,103,-26,-73
24,66,59,83,-27,-93
25,67,39,103,-26,-92
26,68,38,103,-27,-91
25,69,58,83,-26,-111
