Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
88,98,24,-41,-79,-59
68,99,4,-42,-99,-58
48,99,-16,-43,-119,-38
28,98,-15,-63,-99,-39
8,97,-14,-83,-79,-59
-12,98,-34,-82,-78,-58
-11,99,-33,-81,-77,-57
9,99,-13,-101,-77,-56
10,98,-12,-102,-76,-55
9,99,-11,-103,-96,-56
9,98,-12,-83,-116,-55
-11,97,-12,-84,-116,-75
-31,77,-13,-85,-96,-95
-32,57,7,-86,-76,-94
-31,58,6,-87,-96,-93
-11,78,5,-67,-76,-73
-10,98,-15,-68,-96,-72
-9,97,5,-88,-76,-71
-8,98,25,-68,-96,-51
-7,97,45,-88,-76,-50
13,96,44,-68,-96,-49
14,76,64,-48,-76,-49
-6,77,44,-28,-77,-48
-5,76,24,-27,-57,-47
-4,56,4,-27,-37,-46
-3,76,5,-26,-38,-46
17,96,-15,-25,-39,-45
18,116,-14,-24,-19,-44
19,117,-13,-23,1,-64
-1,118,7,-3,21,-65
19,119,8,17,1,-66
19,118,-12,18,-19,-86
19,119,-13,-2,1,-106
19,119,7,-22,-19,-107
39,119,6,-21,-20,-87
19,118,-14,-41,-40,-86
-1,119,-13,-61,-20,-85
-21,118,-33,-62,-19,-84
-41,119,-53,-42,-18,-83
-61,119,-33,-22,2,-82
-81,118,-13,-2,22,-82
-61,117,7,-22,2,-81
-61,118,27,-2,1,-81
-61,119,7,18,-19,-81
-61,118,27,38,1,-81
-61,119,47,37,-19,-81
-61,118,46,17,-39,-81
-61,119,26,37,-59,-81
-61,118,6,17,-79,-81
-61,119,26,16,-99,-81
-61,119,6,15,-119,-81
-61,119,26,14,-118,-81
-61,118,46,-6,-117,-81
-61,117,26,-7,-97,-81
-61,97,46,-8,-77,-81
-61,98,26,-9,-97,-81
-61,99,46,-29,-96,-81
-61,98,47,-28,-76,-81
-61,99,27,-48,-56,-81
-61,98,7,-49,-36,-81
-61,118,8,-69,-16,-81
-61,117,28,-70,4,-81
-61,116,29,-90,24,-81
-61,115,9,-89,23,-81
-61,95,-11,-90,3,-81
-61,75,-12,-89,2,-81
-61,74,8,-88,-18,-81
-61,73,28,-68,-19,-81
-62,72,29,-67,-39,-82
-63,92,28,-66,-40,-83
-63,91,8,-46,-20,-83
-63,71,28,-26,-19,-83
-63,70,29,-25,1,-83
-63,90,49,-5,21,-84
-62,89,29,-25,1,-83
-82,88,9,-5,-19,-63
-62,87,8,-4,-39,-64
-42,86,28,-24,-40,-63
-22,85,8,-4,-40,-64
-2,84,28,-24,-20,-65
18,64,27,-4,-19,-64
38,63,7,16,-18,-84
37,62,-13,36,-17,-83
17,82,-14,16,-37,-82
-3,81,-15,15,-36,-62
-23,80,-35,-5,-36,-63
-22,81,-34,-25,-35,-62
-2,80,-33,-45,-55,-61
18,60,-53,-46,-54,-41
38,61,-73,-66,-74,-42
58,81,-72,-67,-94,-43
57,80,-73,-47,-93,-63
77,60,-72,-27,-92,-64
76,61,-71,-47,-91,-63
75,62,-71,-27,-111,-62
74,63,-72,-47,-112,-82
73,83,-52,-27,-113,-81
93,82,-51,-47,-93,-101
92,81,-50,-27,-73,-81
72,80,-30,-47,-53,-81
