Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
90,16,70,-67,-26,-38
89,15,50,-87,-6,-39
88,16,51,-86,-5,-19
87,17,31,-85,-4,-18
86,18,11,-84,-3,-38
85,17,10,-83,-3,-39
65,16,30,-82,-4,-59
85,15,31,-81,-5,-58
84,14,30,-82,-6,-57
83,14,50,-62,-26,-77
63,-6,49,-63,-46,-97
62,-26,48,-62,-47,-77
63,-46,28,-61,-67,-57
64,-45,27,-81,-87,-37
63,-44,26,-101,-67,-36
43,-45,46,-101,-87,-35
42,-44,26,-102,-67,-55
22,-45,25,-82,-87,-75
21,-44,45,-62,-67,-95
1,-45,25,-63,-47,-75
2,-44,26,-43,-48,-74
1,-45,25,-42,-49,-73
2,-46,5,-41,-29,-72
22,-26,4,-21,-30,-92
42,-6,24,-1,-31,-72
41,14,25,19,-32,-71
21,15,45,39,-12,-91
22,35,46,19,-13,-71
42,36,26,39,-14,-91
41,37,25,19,-34,-90
40,36,26,19,-54,-89
41,37,25,18,-34,-69
21,36,26,-2,-35,-89
41,37,25,-3,-15,-109
42,57,26,-4,-16,-89
41,37,6,-24,-17,-109
21,17,5,-44,-18,-89
20,16,25,-45,-38,-88
21,36,45,-46,-58,-87
41,56,46,-66,-38,-86
42,76,47,-66,-39,-106
41,75,67,-65,-59,-86
42,74,68,-85,-58,-66
41,73,69,-84,-57,-46
42,72,89,-104,-58,-26
41,52,69,-84,-59,-25
61,51,70,-85,-58,-45
62,50,71,-105,-38,-65
82,30,91,-104,-58,-64
83,31,90,-103,-59,-63
84,30,70,-102,-79,-43
64,10,50,-82,-99,-42
84,9,49,-81,-98,-22
83,10,48,-61,-78,-23
84,30,28,-41,-77,-24
85,50,27,-21,-76,-25
84,51,28,-1,-96,-26
83,71,27,-2,-76,-27
82,91,47,-3,-56,-28
81,92,27,-23,-36,-48
82,72,47,-22,-35,-68
81,73,48,-42,-36,-88
82,93,28,-62,-16,-87
81,73,29,-61,-17,-67
61,74,49,-81,3,-66
60,75,29,-61,-17,-86
40,74,9,-81,-37,-66
40,54,29,-61,-38,-65
60,55,30,-81,-39,-64
60,56,31,-61,-40,-84
61,36,32,-81,-60,-64
41,37,31,-61,-59,-65
42,38,32,-62,-39,-85
43,37,31,-82,-40,-84
23,38,11,-102,-60,-64
24,58,31,-101,-59,-63
25,57,51,-81,-58,-43
26,37,52,-61,-59,-23
46,57,51,-41,-39,-3
45,58,52,-21,-19,-23
65,38,51,-1,-20,-3
85,37,52,-2,-19,-4
65,57,72,-22,-39,-5
85,77,71,-2,-38,-25
105,78,70,18,-18,-26
85,98,90,38,-38,-46
65,78,70,18,-58,-66
85,58,71,38,-59,-86
65,59,72,18,-79,-66
66,79,73,17,-99,-46
67,78,74,-3,-98,-26
87,58,94,-4,-78,-27
88,59,74,-5,-77,-28
87,58,73,-6,-76,-48
86,57,53,-7,-77,-49
85,37,52,-8,-76,-69
84,57,53,-9,-75,-89
64,37,54,-10,-74,-69
63,57,53,-11,-54,-68
43,56,54,-31,-34,-88
