Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
61,59,86,-103,-40,-25
60,39,106,-104,-39,-24
40,59,86,-103,-38,-23
20,39,87,-102,-18,-3
0,19,67,-101,-19,-2
-20,19,66,-81,1,-3
-40,39,67,-61,-19,-2
-60,59,66,-62,-20,-3
-59,39,67,-82,-40,-4
-79,38,66,-62,-20,-5
-59,58,65,-63,-19,15
-79,38,64,-64,1,14
-59,18,63,-65,-19,-6
-58,17,64,-64,-18,-26
-57,18,63,-44,-17,-27
-56,19,64,-43,-16,-28
-36,39,63,-23,-15,-29
-16,19,64,-24,-14,-9
4,-1,63,-4,-13,-10
-16,-21,62,16,-12,-11
4,-41,61,36,8,-31
-16,-21,41,16,7,-51
4,-41,42,-4,-13,-52
5,-41,43,-5,-33,-53
-15,-41,63,-25,-32,-54
-14,-41,62,-45,-31,-74
6,-61,61,-44,-30,-75
7,-61,62,-43,-50,-76
-13,-81,61,-44,-70,-77
-14,-101,62,-45,-69,-97
6,-101,61,-65,-49,-98
26,-101,62,-85,-48,-99
46,-101,61,-86,-47,-79
26,-101,60,-85,-27,-80
27,-101,61,-86,-7,-100
47,-101,62,-87,13,-120
27,-101,61,-88,33,-100
7,-101,62,-89,32,-100
27,-102,61,-90,12,-80
47,-102,62,-91,32,-60
27,-102,61,-92,12,-40
47,-102,62,-93,13,-20
48,-102,61,-94,14,0
49,-102,62,-95,-6,-20
69,-102,42,-96,-7,0
89,-102,41,-116,-8,-20
69,-101,42,-117,-9,0
89,-101,43,-118,-10,-20
69,-101,44,-98,-9,-19
49,-101,45,-97,-29,-39
29,-101,44,-96,-30,-19
9,-101,45,-95,-31,1
29,-102,44,-115,-32,-19
30,-82,45,-114,-52,1
10,-81,44,-113,-32,21
-10,-101,45,-93,-52,1
10,-101,44,-73,-32,2
-10,-101,45,-72,-12,3
-30,-101,44,-71,-13,-17
-29,-101,45,-70,-14,-37
-9,-101,44,-90,6,-36
-29,-101,45,-89,26,-37
-9,-102,44,-109,25,-17
-8,-103,45,-108,26,-16
12,-104,44,-88,46,-15
-8,-105,43,-87,66,-35
12,-106,42,-86,86,-55
13,-107,43,-87,66,-35
33,-106,42,-67,65,-15
53,-106,41,-47,64,5
73,-107,42,-27,65,-15
53,-108,41,-26,64,5
73,-109,42,-6,65,-15
53,-110,41,14,64,5
73,-111,42,15,65,6
93,-112,41,-5,64,-14
73,-113,42,-25,65,-13
93,-114,41,-26,64,-33
73,-94,42,-27,63,-53
53,-74,62,-7,64,-73
33,-75,61,-8,65,-93
34,-76,60,12,85,-73
54,-77,61,32,65,-53
55,-57,60,31,64,-33
56,-37,61,11,63,-13
36,-17,60,-9,43,-14
16,3,61,-29,23,6
-4,2,60,-9,3,-14
16,1,61,-10,2,6
17,0,60,-11,1,-14
37,0,61,-12,-19,-34
57,0,62,-32,-39,-14
37,20,61,-33,-40,6
57,20,81,-53,-39,5
37,21,82,-73,-59,-15
57,20,83,-93,-60,-16
37,40,103,-113,-59,-36
57,41,104,-114,-58,-56
37,40,105,-115,-57,-76
57,20,106,-95,-56,-76
