result
34
54
55
87
98
108
122
108
109
127
110
131
146
144
139
141
132
111
145
147
159
142
138
113
148
139
139
117
132
147
152
132
136
138
125
114
115
113
122
119
116
135
136
131
117
109
119
135
119
127
115
125
137
116
110
124
115
123
122
107
133
