Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
85,54,117,-118,-31,-68
65,53,97,-98,-30,-48
64,52,117,-78,-29,-28
63,51,97,-79,-9,-29
64,50,77,-59,-8,-9
65,49,57,-39,-8,-10
64,50,37,-40,-28,-30
84,30,17,-20,-8,-31
64,50,18,-40,-7,-32
63,70,-2,-60,-6,-52
62,50,18,-59,-26,-32
61,30,38,-39,-6,-33
60,50,58,-19,-26,-32
60,70,78,1,-6,-12
61,90,98,21,-26,8
62,70,78,41,-25,28
61,90,79,41,-5,48
61,70,99,42,-25,68
41,50,79,43,-24,88
21,30,78,44,-44,108
1,10,77,24,-24,88
0,30,76,4,-44,87
20,10,56,-16,-43,107
0,-10,36,-17,-63,87
20,10,16,-37,-43,67
0,-10,-4,-38,-63,47
20,10,16,-39,-43,27
0,30,-4,-59,-23,7
20,31,16,-60,-22,-13
0,11,-4,-80,-42,-33
20,31,-24,-80,-62,-53
0,11,-4,-79,-63,-54
20,31,-24,-80,-64,-55
0,11,-4,-60,-84,-56
20,31,16,-40,-64,-57
0,11,-4,-20,-44,-37
20,-9,16,0,-45,-17
20,-29,-4,0,-25,3
40,-9,-24,20,-5,23
41,11,-44,40,-4,43
61,31,-64,41,16,63
60,11,-65,42,36,83
60,31,-45,22,56,63
40,51,-25,2,76,43
60,71,-5,-18,75,23
40,91,15,-38,74,3
60,71,35,-58,73,-17
40,91,15,-59,53,3
60,71,35,-79,52,-17
80,91,55,-80,51,3
60,71,35,-100,50,-17
80,91,34,-120,49,3
60,71,54,-119,50,-17
80,91,34,-118,49,3
60,71,14,-98,50,-17
80,91,-6,-78,30,3
60,71,-26,-77,10,-17
80,91,-27,-57,-10,-18
60,71,-7,-37,-30,-38
40,91,13,-36,-29,-39
60,71,-7,-16,-28,-59
40,91,13,4,-48,-79
60,92,33,24,-68,-99
40,72,13,4,-48,-119
60,52,33,24,-49,-99
61,32,53,4,-50,-119
62,12,33,5,-70,-118
61,32,53,6,-90,-98
62,52,33,-14,-70,-78
61,32,13,6,-50,-77
62,52,-7,-14,-30,-97
61,32,-27,6,-10,-117
60,52,-26,-14,-11,-97
61,32,-25,-15,-31,-77
62,52,-24,-14,-32,-97
63,32,-4,6,-12,-77
62,52,16,-14,8,-57
63,32,-4,-15,-12,-77
62,52,16,-14,8,-57
63,72,15,-15,-12,-77
62,52,16,-14,8,-57
63,72,-4,-15,-12,-77
62,92,-24,-14,8,-57
63,72,-4,-15,-12,-77
62,52,-24,-14,-13,-57
63,72,-4,-34,-14,-56
62,52,-24,-54,6,-76
63,72,-4,-74,-14,-56
62,52,-24,-94,6,-36
61,72,-4,-74,-14,-16
62,52,-24,-73,6,4
61,72,-4,-72,7,24
62,92,16,-52,-13,44
61,72,-4,-32,-33,64
62,52,16,-12,-32,84
61,72,-4,8,-31,64
62,92,16,28,-51,44
61,72,36,48,-71,24
62,52,16,28,-91,4
61,32,-4,29,-71,-16
