result
578.0
620.0
840.0
909.0
990.0
1066.0
1401.0
1315.0
1244.0
1592.0
1456.0
1481.0
1323.0
1425.0
1919.0
1409.0
2008.0
1842.0
2038.0
1672.0
1468.0
1934.0
1890.0
2036.0
2057.0
2160.0
2197.0
1996.0
1871.0
1971.0
1845.0
1904.0
2081.0
2184.0
2247.0
2045.0
2255.0
2332.0
2354.0
2198.0
1988.0
2291.0
2091.0
1897.0
2078.0
2276.0
2255.0
2233.0
1788.0
2469.0
1717.0
2366.0
2351.0
2374.0
2371.0
2304.0
2340.0
2517.0
2204.0
2364.0
2429.0
