Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
103,67,26,-86,-119,-75
102,87,27,-66,-99,-95
82,88,47,-46,-79,-115
83,68,48,-45,-59,-95
82,68,49,-44,-58,-94
83,67,50,-64,-38,-114
63,47,51,-63,-39,-94
62,48,52,-83,-59,-93
63,49,53,-82,-60,-73
62,69,33,-62,-80,-74
61,49,53,-82,-100,-75
41,29,52,-62,-80,-95
42,30,72,-82,-60,-96
22,50,73,-62,-40,-97
42,70,93,-42,-40,-77
43,50,94,-43,-20,-57
44,70,74,-23,-19,-37
45,69,94,-3,-18,-36
25,68,74,-4,-38,-35
45,88,94,-24,-18,-55
25,68,93,-4,-17,-35
24,69,92,-5,-16,-34
25,49,93,-25,-15,-54
24,50,92,-26,5,-53
44,30,93,-27,-15,-73
24,31,94,-7,-14,-93
25,30,74,-8,-13,-94
45,50,75,-9,-12,-74
44,51,55,-29,-32,-94
64,31,75,-49,-52,-114
84,11,74,-69,-51,-94
85,31,94,-89,-71,-74
86,51,95,-69,-91,-75
66,71,94,-89,-92,-76
46,70,95,-69,-72,-96
26,69,75,-89,-71,-97
46,89,76,-69,-91,-98
26,69,56,-68,-92,-78
46,89,55,-88,-72,-98
26,69,54,-68,-52,-78
46,89,55,-48,-32,-77
26,69,54,-28,-33,-97
25,70,53,-27,-34,-98
45,90,54,-26,-35,-118
44,70,74,-6,-36,-98
64,71,75,-5,-56,-99
44,72,95,-4,-76,-79
24,71,75,-3,-75,-80
23,51,76,-23,-95,-60
43,52,77,-22,-94,-40
42,53,78,-42,-74,-20
41,52,77,-62,-73,-19
61,53,97,-82,-93,-39
81,73,117,-83,-92,-59
82,72,118,-63,-91,-58
62,92,98,-64,-71,-38
61,72,78,-84,-70,-39
41,73,79,-85,-50,-59
21,53,79,-65,-51,-79
22,33,79,-66,-31,-99
23,32,79,-86,-11,-100
24,31,79,-66,-12,-120
44,51,78,-46,-13,-100
24,31,77,-45,-14,-80
44,32,97,-25,-34,-60
45,52,96,-45,-54,-40
65,32,95,-46,-55,-20
45,31,94,-47,-56,-19
25,51,93,-48,-57,-20
45,50,92,-68,-37,-19
25,30,112,-69,-17,-39
26,10,112,-89,-18,-38
27,30,112,-69,2,-58
47,10,112,-49,3,-78
46,11,111,-29,23,-98
26,31,112,-49,24,-78
25,32,92,-29,4,-77
26,31,93,-9,-16,-97
25,30,94,-8,-15,-96
24,31,74,-9,-14,-76
23,51,75,-10,-13,-96
43,50,76,-30,-12,-116
42,30,96,-50,-32,-96
41,29,97,-51,-52,-95
61,28,96,-71,-53,-75
41,48,76,-91,-73,-95
42,47,96,-90,-93,-96
22,67,97,-70,-113,-76
21,66,77,-69,-93,-77
22,86,78,-68,-73,-78
42,85,58,-67,-74,-98
22,65,38,-87,-75,-78
23,85,37,-67,-76,-79
22,86,38,-47,-96,-99
42,66,37,-27,-97,-79
22,86,57,-7,-96,-59
42,66,77,-6,-76,-39
22,86,78,-5,-56,-19
42,66,58,-6,-36,-18
41,86,57,-26,-35,-38
