Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
117,0,82,-56,-64,-67
97,20,62,-76,-44,-66
96,21,82,-96,-45,-67
76,22,62,-97,-65,-87
96,21,63,-77,-85,-88
76,20,43,-76,-84,-89
56,40,44,-75,-83,-90
76,60,24,-95,-63,-91
56,60,23,-115,-62,-92
55,80,43,-116,-61,-91
75,81,44,-96,-81,-90
95,61,64,-76,-101,-110
75,60,63,-56,-81,-109
95,80,43,-36,-61,-108
115,81,44,-35,-41,-107
114,101,45,-34,-42,-106
113,102,65,-35,-22,-86
93,82,66,-55,-23,-85
73,83,46,-54,-24,-65
93,63,47,-74,-44,-64
73,83,48,-94,-43,-84
72,84,28,-93,-42,-83
92,64,48,-113,-62,-82
72,63,49,-93,-63,-83
52,64,69,-73,-43,-82
32,65,68,-72,-23,-81
12,66,69,-71,-22,-101
32,86,68,-51,-21,-81
31,87,88,-31,-1,-61
51,86,89,-11,-2,-41
31,66,69,-31,18,-21
51,86,68,-11,38,-1
71,66,48,-12,18,-1
51,65,47,-32,38,-1
71,64,46,-52,18,-1
51,63,45,-51,-2,19
71,83,25,-50,-3,19
91,84,45,-70,-4,19
111,64,46,-71,-5,39
91,84,66,-72,-6,39
90,83,86,-92,-26,39
110,82,66,-112,-27,39
90,81,86,-92,-28,39
70,61,66,-91,-48,39
50,62,67,-90,-68,38
30,61,66,-110,-67,39
50,41,65,-111,-87,19
30,42,66,-112,-86,-1
50,22,86,-92,-85,-21
49,42,85,-72,-84,-22
29,22,65,-92,-104,-23
9,21,45,-72,-105,-24
29,41,65,-52,-85,-25
49,21,66,-53,-84,-45
69,41,86,-54,-83,-44
89,21,66,-55,-82,-64
69,41,46,-56,-81,-63
89,61,45,-57,-82,-83
69,81,25,-37,-102,-103
89,82,45,-57,-101,-83
69,62,46,-37,-81,-63
89,61,26,-38,-61,-62
69,81,46,-39,-41,-82
89,82,26,-59,-21,-62
69,62,25,-79,-1,-42
89,82,45,-78,19,-22
88,81,46,-98,18,-2
68,80,66,-99,38,18
88,81,46,-119,37,38
68,82,66,-99,36,58
48,62,46,-100,35,78
28,82,26,-80,15,77
48,83,25,-100,16,57
28,63,26,-100,15,37
27,43,26,-120,-5,17
47,42,6,-100,-6,-3
67,41,5,-80,-7,-4
87,21,4,-60,-8,-24
67,41,24,-40,-9,-44
87,42,4,-20,-29,-43
86,43,3,-19,-49,-63
66,63,4,-39,-69,-83
86,62,24,-19,-89,-63
66,42,25,-18,-90,-62
46,41,5,-17,-89,-42
66,21,-15,-16,-88,-22
86,20,5,-36,-87,-2
66,21,-15,-56,-86,-3
65,20,5,-57,-106,-4
64,0,6,-77,-106,-5
84,20,26,-97,-105,-25
64,21,6,-98,-85,-26
44,1,7,-118,-65,-46
64,-19,27,-98,-66,-47
84,-39,28,-99,-67,-27
64,-59,48,-79,-68,-47
84,-59,68,-99,-69,-46
64,-58,48,-79,-70,-45
84,-78,49,-99,-71,-25
64,-98,69,-79,-72,-5
