Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
34,17,1,-51,-72,-60
14,18,-19,-31,-71,-80
-6,-2,-39,-11,-70,-100
-26,-3,-59,9,-50,-99
-46,-23,-58,-11,-49,-79
-47,-43,-59,-10,-48,-99
-47,-63,-60,-11,-68,-100
-48,-62,-40,-10,-67,-99
-68,-82,-39,-30,-66,-98
-88,-83,-40,-10,-67,-118
-89,-84,-60,-9,-87,-119
-88,-85,-80,11,-86,-99
-108,-105,-80,12,-106,-79
-88,-105,-80,11,-86,-59
-89,-85,-80,12,-66,-39
-90,-65,-80,13,-46,-38
-91,-45,-80,-7,-26,-18
-111,-25,-80,-27,-6,-17
-112,-5,-60,-7,14,-16
-113,-6,-40,13,34,-15
-114,14,-20,33,54,-35
-94,15,-19,32,74,-34
-74,16,1,52,94,-33
-75,36,21,32,114,-34
-55,37,22,31,94,-33
-35,38,21,51,114,-34
-36,58,20,50,115,-14
-16,38,0,70,116,-34
-15,37,-20,69,117,-54
-14,38,0,49,118,-74
6,39,20,48,119,-75
7,38,0,68,119,-95
-13,58,-20,67,119,-75
-12,57,-19,87,119,-76
-11,77,-18,67,119,-56
-31,76,-38,68,119,-36
-51,75,-39,67,119,-16
-52,55,-59,87,119,-17
-53,75,-60,67,118,3
-73,76,-59,47,119,-17
-72,75,-60,67,119,-18
-92,74,-59,66,119,-38
-112,54,-58,65,119,-38
-92,34,-59,85,119,-58
-112,14,-79,65,119,-59
-92,-6,-78,66,119,-79
-93,-26,-78,65,119,-99
-73,-27,-77,85,119,-119
-74,-7,-57,65,119,-99
-75,-27,-56,85,119,-98
-74,-28,-36,105,99,-78
-94,-27,-37,85,99,-79
-114,-47,-36,65,119,-80
-113,-27,-35,85,118,-100
-112,-7,-15,65,98,-80
-111,-6,-14,66,118,-60
-110,-5,-13,46,119,-40
-109,-4,7,66,119,-20
-89,-3,8,46,119,-40
-69,-2,28,66,119,-60
-49,-22,8,65,118,-40
-29,-42,-12,45,117,-39
-30,-41,-32,25,116,-59
-31,-42,-32,5,115,-39
-51,-62,-12,25,114,-19
-31,-82,-11,5,94,-18
-31,-81,-10,25,93,-38
-11,-101,-9,45,92,-39
9,-102,-8,46,91,-38
29,-103,-7,66,71,-39
49,-104,-6,86,72,-38
29,-105,-5,66,52,-37
9,-106,15,46,51,-17
-11,-86,-5,26,50,-37
9,-87,-25,6,49,-57
-11,-67,-24,-14,69,-56
-31,-68,-23,-34,89,-76
-32,-69,-22,-54,109,-75
-33,-70,-21,-53,109,-95
-34,-71,-41,-33,109,-94
-35,-72,-21,-53,108,-93
-55,-73,-1,-52,107,-92
-54,-93,-2,-32,87,-112
-34,-92,-3,-12,67,-113
-14,-93,-4,8,66,-112
-13,-92,-5,9,65,-113
7,-112,-6,29,64,-114
6,-111,-26,28,63,-94
-14,-110,-46,29,62,-74
-13,-90,-45,9,42,-54
-33,-89,-44,10,41,-74
-53,-88,-64,-10,40,-54
-73,-87,-84,10,20,-34
-93,-86,-85,30,40,-33
-113,-106,-105,50,41,-32
-113,-107,-85,51,21,-33
-113,-108,-65,50,41,-32
-113,-109,-64,70,42,-31
-113,-89,-63,50,22,-32
-113,-90,-43,70,42,-33
