Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
83,92,7,-87,-47,-109
84,72,8,-107,-48,-110
64,73,9,-107,-28,-111
44,53,29,-106,-29,-111
43,33,28,-107,-30,-111
42,53,8,-87,-31,-111
41,33,28,-88,-32,-111
42,53,48,-68,-33,-111
41,33,47,-48,-34,-111
21,53,67,-28,-35,-91
22,33,87,-29,-55,-71
21,34,107,-30,-54,-51
1,54,87,-31,-34,-50
21,34,107,-32,-35,-49
22,35,87,-33,-36,-48
23,34,67,-13,-37,-68
22,35,47,-14,-57,-67
23,36,67,-15,-77,-66
24,56,87,-16,-97,-65
44,57,88,-17,-77,-45
45,58,89,-18,-97,-25
46,78,90,-19,-117,-24
47,58,91,-39,-97,-4
48,38,71,-59,-98,-3
47,39,72,-39,-78,-2
48,19,52,-19,-79,-22
49,39,72,-20,-99,-21
48,59,52,-40,-100,-21
49,58,72,-20,-120,-41
29,38,92,-19,-119,-61
30,39,91,-18,-118,-81
31,19,111,-38,-98,-82
32,-1,91,-18,-78,-62
33,19,71,-38,-77,-61
34,-1,70,-37,-76,-81
35,-21,90,-36,-96,-101
55,-1,91,-35,-95,-81
56,-21,71,-34,-94,-82
57,-1,51,-33,-74,-62
56,19,52,-32,-73,-82
55,39,53,-52,-93,-62
35,19,33,-51,-73,-63
55,39,32,-31,-93,-64
56,19,33,-11,-73,-44
57,-1,53,-10,-53,-45
77,-21,52,-9,-52,-25
97,-22,53,-8,-72,-26
98,-2,54,-28,-92,-46
97,18,34,-48,-91,-66
96,-2,54,-68,-90,-67
76,-22,34,-88,-89,-47
96,-2,54,-68,-69,-27
95,18,34,-88,-89,-7
96,-2,54,-87,-90,-8
76,18,53,-86,-70,-9
56,17,52,-85,-90,-29
76,16,51,-65,-70,-49
56,36,50,-64,-50,-29
56,35,49,-84,-51,-49
55,34,69,-104,-71,-69
75,35,70,-105,-91,-89
95,34,90,-106,-111,-109
75,33,110,-107,-112,-108
55,53,110,-87,-113,-88
56,33,109,-67,-114,-68
76,32,109,-47,-115,-88
96,33,110,-27,-115,-68
76,53,90,-7,-116,-88
77,33,110,-6,-116,-68
57,32,109,-5,-96,-88
37,12,108,-4,-76,-68
38,13,108,-3,-56,-48
37,12,107,-23,-57,-28
38,32,87,-22,-58,-8
39,52,86,-42,-59,12
38,32,85,-22,-39,-8
58,52,65,-42,-19,12
38,51,66,-22,-18,-8
18,50,86,-2,-17,12
17,30,66,18,-37,-8
-3,31,86,17,-57,12
-23,51,106,-3,-58,-8
-23,71,86,17,-59,-7
-3,91,106,17,-60,-27
-3,71,86,17,-80,-7
-3,70,106,17,-100,-6
-3,50,86,17,-99,-5
-3,30,66,17,-98,-4
-3,31,65,17,-97,-24
-3,51,85,17,-96,-23
-3,52,65,37,-76,-43
-23,53,85,38,-75,-63
-43,54,65,39,-74,-83
-44,74,45,19,-54,-84
-45,94,46,-1,-34,-104
-65,74,47,-21,-35,-103
-85,94,48,-41,-34,-102
-84,74,68,-61,-35,-82
-83,94,88,-41,-34,-62
-82,74,108,-61,-33,-42
