Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
2,88,66,-14,-38,-119
3,68,46,-34,-58,-118
23,69,45,-54,-59,-98
22,49,25,-74,-39,-78
21,29,5,-94,-59,-79
41,9,4,-114,-39,-80
42,-11,-16,-114,-59,-80
43,-31,-36,-113,-39,-100
44,-32,-37,-93,-19,-99
45,-52,-57,-73,-20,-119
44,-72,-77,-53,-40,-99
64,-71,-78,-33,-60,-98
63,-51,-78,-13,-80,-97
62,-50,-79,-33,-100,-96
61,-70,-80,-34,-120,-95
62,-90,-60,-54,-100,-75
82,-70,-40,-55,-80,-95
62,-50,-20,-56,-60,-115
61,-30,-19,-57,-40,-116
41,-29,-18,-58,-39,-117
42,-49,-19,-59,-39,-118
43,-48,-20,-58,-19,-119
23,-68,0,-38,1,-118
22,-48,-20,-18,0,-117
23,-47,-19,-17,0,-116
24,-27,-39,-18,20,-115
44,-26,-40,2,40,-95
24,-27,-60,1,60,-96
44,-7,-80,0,61,-95
45,13,-100,0,41,-115
46,14,-120,0,40,-115
47,-6,-120,0,20,-95
46,-26,-100,-20,40,-75
47,-46,-80,-40,20,-55
48,-26,-60,-40,0,-35
28,-46,-60,-40,-20,-15
29,-26,-60,-40,-20,5
28,-46,-60,-40,-20,25
27,-26,-60,-40,-20,24
28,-46,-60,-40,-20,23
27,-66,-60,-40,0,22
28,-65,-60,-20,0,21
27,-85,-40,-19,0,22
26,-105,-20,-19,1,42
46,-104,-40,-20,21,43
45,-103,-40,-20,20,42
25,-102,-40,-20,0,41
24,-82,-40,-20,0,61
23,-62,-40,-20,0,62
24,-42,-40,-20,0,63
4,-22,-40,-20,20,83
3,-2,-40,0,20,84
4,-1,-20,0,21,85
5,-21,-20,20,21,86
6,-1,0,40,20,66
7,19,0,40,20,65
8,18,1,41,20,64
9,17,0,42,40,84
10,16,0,43,41,104
30,15,1,63,40,105
31,-5,-19,64,40,104
32,-25,-20,65,40,103
33,-45,0,45,60,102
53,-44,0,65,80,102
54,-64,0,45,100,101
55,-65,0,44,100,101
56,-66,-20,45,80,102
57,-67,-40,25,81,102
56,-68,-60,26,80,101
55,-67,-59,27,80,100
54,-47,-58,7,60,100
34,-48,-57,-13,61,100
33,-49,-56,-12,62,100
34,-69,-55,-11,63,100
33,-68,-75,-31,43,100
34,-67,-76,-30,63,100
54,-68,-77,-29,64,100
55,-88,-97,-9,44,100
56,-87,-98,-8,64,100
57,-86,-99,-28,84,100
58,-66,-119,-48,83,100
57,-65,-118,-49,63,100
58,-64,-117,-50,62,100
57,-63,-116,-51,42,80
58,-83,-96,-52,62,100
57,-82,-95,-53,42,100
58,-81,-94,-33,41,100
57,-82,-93,-53,61,100
37,-102,-92,-73,62,100
57,-82,-91,-93,42,100
37,-62,-90,-92,41,101
57,-61,-89,-112,21,101
58,-81,-88,-111,1,100
78,-101,-87,-112,2,101
98,-102,-86,-113,-18,100
97,-103,-106,-114,-17,101
77,-104,-86,-115,-37,101
76,-105,-85,-116,-57,102
75,-106,-105,-96,-37,102
74,-107,-85,-76,-36,101
