Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
44,54,12,-37,-111,-49
45,55,-8,-57,-110,-48
44,56,-9,-56,-109,-47
64,36,-10,-36,-110,-67
84,37,-9,-37,-111,-68
64,38,-29,-57,-112,-67
65,18,-49,-77,-92,-66
66,-2,-48,-97,-72,-46
46,-22,-47,-98,-73,-45
47,-2,-48,-99,-53,-25
48,-22,-68,-79,-52,-5
28,-2,-88,-78,-72,-25
27,-3,-87,-98,-92,-26
47,-23,-88,-97,-91,-6
67,-22,-108,-96,-90,-7
47,-42,-109,-116,-110,13
67,-22,-89,-115,-109,-7
47,-21,-69,-114,-108,-27
48,-1,-68,-94,-107,-28
47,19,-48,-74,-87,-29
48,18,-49,-54,-86,-28
28,38,-29,-34,-85,-27
8,58,-9,-35,-84,-26
7,57,11,-15,-83,-25
27,58,12,-35,-63,-5
26,78,-8,-15,-62,-4
46,77,-28,-14,-82,-3
47,76,-27,-13,-102,-4
48,56,-26,-33,-102,-24
28,57,-25,-32,-101,-44
48,37,-24,-52,-81,-43
49,57,-23,-53,-61,-42
69,77,-3,-73,-41,-42
70,76,-2,-53,-21,-41
71,75,-3,-52,-22,-41
72,55,17,-53,-2,-21
92,54,16,-73,-3,-21
93,55,-4,-72,17,-21
73,35,-5,-73,18,-21
72,34,-6,-93,17,-21
92,35,-7,-73,18,-21
93,36,-6,-53,38,-1
94,37,-7,-54,58,-1
93,38,-8,-55,78,-1
94,37,-9,-56,79,-1
74,38,-10,-57,99,-1
75,39,-11,-58,119,-1
76,39,-31,-78,119,-1
56,19,-51,-79,119,-1
76,19,-71,-59,119,-1
77,19,-91,-39,99,-1
78,19,-111,-19,119,-2
79,18,-91,-18,99,-1
79,-2,-71,-38,99,-1
78,18,-72,-18,119,-1
77,-2,-73,-17,119,19
97,-22,-74,3,99,-1
77,-23,-94,-17,99,-21
97,-24,-95,3,99,-22
96,-25,-96,4,99,-42
76,-26,-76,24,79,-62
77,-27,-77,44,79,-82
97,-47,-97,64,78,-102
98,-67,-96,65,78,-103
118,-68,-97,45,98,-104
118,-88,-117,25,98,-105
118,-87,-118,5,99,-106
119,-107,-119,-15,99,-86
119,-87,-120,-35,99,-66
119,-67,-120,-55,99,-46
119,-47,-120,-35,98,-66
119,-27,-120,-15,97,-46
119,-7,-120,5,96,-47
119,13,-120,25,95,-27
119,33,-120,26,96,-7
119,32,-100,46,76,13
99,12,-99,26,77,13
99,-8,-98,6,57,-7
79,-8,-118,5,37,-6
59,12,-117,-15,17,-5
58,11,-118,-35,-3,-4
78,12,-117,-15,-23,-3
58,11,-116,5,-22,-4
78,10,-96,25,-23,-5
98,-10,-97,45,-3,15
78,-11,-98,65,-2,16
98,-31,-99,85,18,15
78,-30,-98,86,38,-5
77,-29,-78,85,18,-25
97,-49,-58,65,19,-45
98,-69,-57,45,19,-65
97,-70,-37,44,-1,-85
98,-71,-38,24,-21,-105
78,-51,-39,4,-41,-106
77,-52,-19,-16,-42,-86
57,-32,-20,-36,-62,-87
58,-33,0,-37,-82,-67
78,-53,1,-57,-102,-47
77,-33,2,-77,-103,-27
78,-34,3,-78,-104,-28
