Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
22,1,42,-115,-90,-103
2,1,43,-95,-91,-104
3,21,44,-94,-92,-104
-17,1,45,-74,-112,-105
-37,21,65,-75,-111,-85
-17,22,64,-74,-91,-65
3,21,44,-54,-71,-45
23,22,43,-53,-51,-25
23,2,44,-52,-71,-26
3,2,24,-72,-51,-27
23,-18,25,-92,-71,-28
24,2,25,-93,-51,-8
44,3,26,-94,-31,-9
24,23,6,-74,-30,-29
4,22,-14,-75,-50,-28
-16,42,-15,-76,-30,-48
4,22,-35,-75,-10,-28
24,21,-15,-74,10,-27
44,22,-16,-73,11,-28
64,21,-15,-74,12,-8
84,22,-16,-73,13,-7
85,21,-15,-53,14,-6
65,22,-16,-33,15,-5
66,21,-15,-32,16,-4
67,22,-16,-12,16,-24
87,42,-15,8,17,-23
86,41,5,-12,18,-22
87,40,4,8,-2,-42
67,60,3,28,-1,-41
68,80,-17,27,-21,-61
69,81,-18,7,-22,-62
70,82,-19,-13,-23,-63
69,83,-20,-33,-43,-83
70,63,-19,-32,-44,-63
50,64,-39,-33,-45,-64
30,84,-38,-32,-46,-65
50,64,-39,-31,-26,-66
51,63,-38,-30,-27,-67
71,64,-39,-29,-7,-68
70,65,-38,-28,13,-69
69,64,-39,-8,14,-89
68,65,-38,-7,13,-69
67,64,-39,-6,14,-70
66,65,-38,-6,34,-71
86,64,-18,14,34,-72
85,44,-19,15,14,-52
65,24,-20,16,13,-32
64,23,-40,17,14,-12
84,22,-39,-3,13,-13
83,21,-38,-23,12,-14
84,22,-39,-22,-8,-34
104,21,-38,-21,-28,-35
103,22,-39,-41,-48,-36
83,21,-38,-41,-68,-56
84,22,-39,-61,-67,-57
104,21,-38,-81,-87,-58
84,22,-39,-82,-88,-59
85,42,-40,-83,-87,-60
65,41,-20,-84,-86,-80
64,21,0,-85,-106,-100
84,1,20,-65,-107,-80
83,2,40,-66,-108,-100
82,22,60,-65,-88,-80
83,2,60,-64,-89,-100
84,3,80,-63,-90,-120
83,-17,81,-83,-70,-100
63,3,61,-103,-71,-80
83,23,41,-104,-91,-60
84,43,21,-84,-71,-40
85,63,1,-64,-91,-20
86,62,2,-44,-71,-19
66,82,-18,-24,-91,1
67,83,-38,-4,-71,21
87,103,-37,16,-91,41
107,83,-36,36,-71,42
87,84,-35,35,-91,62
107,83,-55,15,-71,61
108,84,-75,35,-91,60
88,83,-76,15,-71,61
89,84,-77,-5,-91,81
90,83,-76,-25,-71,80
70,63,-77,-26,-70,80
71,83,-76,-27,-71,81
51,84,-77,-47,-72,101
71,64,-76,-27,-92,100
91,44,-77,-7,-72,100
111,43,-76,-6,-92,100
110,42,-77,-5,-72,100
111,43,-76,15,-92,101
91,44,-77,-5,-72,100
71,43,-76,-25,-73,100
91,23,-77,-26,-53,100
92,22,-76,-27,-33,100
72,42,-77,-28,-13,100
92,43,-76,-8,-14,100
72,44,-75,-9,6,100
92,64,-76,-8,-14,101
91,65,-75,12,-34,100
71,45,-76,32,-14,101
91,44,-75,12,-34,102
