Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
71,99,102,-64,-37,-8
51,79,82,-44,-38,-28
50,59,62,-24,-39,-27
30,39,61,-23,-38,-28
29,19,41,-22,-37,-48
9,-1,21,-23,-36,-47
-11,19,1,-24,-35,-27
9,39,21,-25,-34,-7
-11,19,1,-24,-33,-6
9,-1,21,-23,-32,-5
-11,19,1,-22,-31,-4
9,-1,21,-2,-30,-5
29,19,1,18,-10,15
9,-1,21,38,-9,-5
-11,-21,1,58,-29,-25
9,-1,21,59,-49,-26
-11,-21,1,59,-50,-25
9,-1,21,59,-49,-26
-11,-21,1,79,-50,-25
9,-1,21,99,-70,-26
-11,-2,1,98,-71,-25
9,-3,21,97,-91,-26
-11,17,1,96,-71,-25
-31,37,21,95,-72,-24
-11,57,1,94,-73,-25
9,37,-19,93,-93,-26
-11,17,1,92,-94,-27
9,37,-19,93,-74,-28
-11,17,1,92,-54,-27
9,37,21,93,-55,-28
-11,57,1,92,-35,-29
9,37,21,93,-15,-49
-11,57,1,94,-16,-69
9,37,21,93,-17,-89
-11,17,1,92,-37,-88
9,37,21,93,-57,-87
29,17,1,94,-58,-86
49,37,21,74,-59,-85
29,17,1,73,-79,-84
9,37,21,53,-99,-83
-11,17,22,54,-119,-82
9,37,42,53,-99,-62
-11,36,22,52,-98,-61
9,56,42,53,-78,-41
-11,36,41,52,-98,-21
9,16,61,51,-118,-1
-11,15,41,31,-119,19
9,35,21,32,-120,18
-11,15,1,33,-100,-2
9,35,21,13,-80,-3
-11,15,41,-7,-60,-4
9,35,21,-6,-80,-3
-11,55,1,-5,-60,-2
9,75,21,-4,-40,-22
-11,55,1,-3,-40,-23
9,75,21,-2,-20,-22
-11,95,1,18,0,-2
9,75,21,17,20,-22
-11,74,1,16,0,-2
9,94,21,15,20,18
29,95,1,14,0,17
9,75,21,15,0,37
-11,55,41,14,-20,38
9,35,40,15,0,39
-11,36,20,16,-20,59
9,56,0,15,-20,79
-11,36,0,16,-20,99
-10,56,20,-4,0,99
10,36,20,-3,1,99
-10,56,0,-4,-19,99
10,36,20,-5,1,79
-10,16,40,-6,21,99
10,15,20,-7,1,79
-10,35,0,-8,2,59
10,55,-20,-9,1,58
-10,35,-40,-9,2,78
10,34,-60,-10,-18,79
10,54,-80,-10,-38,79
10,34,-60,-11,-58,78
9,54,-80,-12,-57,77
-11,34,-60,-13,-77,78
-10,14,-80,-14,-97,77
10,15,-60,-34,-96,97
-10,35,-80,-33,-76,77
-11,15,-60,-32,-56,57
-31,35,-80,-32,-36,58
-11,34,-60,-33,-35,38
-31,54,-80,-13,-15,18
-11,34,-60,7,-35,-2
-10,54,-80,27,-55,-3
10,34,-60,26,-75,-23
-10,54,-60,46,-95,-24
10,34,-80,66,-115,-44
-10,14,-60,86,-116,-64
-11,-6,-80,85,-117,-84
9,14,-60,84,-118,-83
-11,34,-59,83,-98,-103
-31,54,-79,82,-78,-102
-11,74,-99,83,-58,-101
-31,54,-79,82,-38,-81
